Pattern	POS
أفعلتن	v
أفعل	v
أفعلت	v
أفعلا	v
أفعلتا	v
أفعلوا	v
أفعلن	v
أفعل	v
نفعل	v
تفعل	v
تفعلين	v
تفعلان	v
تفعلون	v
تفعلن	v
يفعل	v
تفعل	v
يفعلان	v
تفعلان	v
يفعلون	v
يفعلن	v
أفعل	v
نفعل	v
تفعل	v
تفعلي	v
تفعلا	v
تفعلوا	v
تفعلن	v
يفعل	v
تفعل	v
يفعلا	v
تفعلا	v
يفعلوا	v
يفعلن	v
أفعل	v
نفعل	v
تفعل	v
تفعلي	v
تفعلا	v
تفعلوا	v
تفعلن	v
يفعل	v
تفعل	v
يفعلا	v
تفعلا	v
يفعلوا	v
يفعلن	v
أفعلن	v
نفعلن	v
تفعلن	v
تفعلن	v
تفعلان	v
تفعلن	v
تفعلنان	v
يفعلن	v
تفعلن	v
يفعلان	v
تفعلان	v
يفعلن	v
يفعلنان	v
فعلت‏	v
فعلنا	v
فعلت	v
فعلت	v
فعلتما	v
فعلتم	v
فعلتن	v
فعل	v
فعلت	v
فعلا	v
فعلتا	v
فعلوا	v
فعلن	v
أفعل	v
نفعل	v
تفعل	v
تفعلين	v
تفعلان	v
تفعلون	v
تفعلن	v
يفعل	v
تفعل	v
يفعلان	v
تفعلان	v
يفعلون	v
يفعلن	v
أفعل	v
نفعل	v
تفعل	v
تفعلي	v
تفعلا	v
تفعلوا	v
تفعلن	v
يفعل	v
تفعل	v
يفعلا	v
تفعلا	v
يفعلوا	v
يفعلن	v
أفعل	v
نفعل	v
تفعل	v
تفعلي	v
تفعلا	v
تفعلوا	v
تفعلن	v
يفعل	v
تفعل	v
يفعلا	v
تفعلا	v
يفعلوا	v
يفعلن	v
أفعلن	v
نفعلن	v
تفعلن	v
تفعلن	v
تفعلان	v
تفعلن	v
تفعلنان	v
يفعلن	v
تفعلن	v
يفعلان	v
تفعلان	v
يفعلن	v
يفعلنان	v
فوعلت‏	v
فوعلنا	v
فوعلت	v
فوعلت	v
فوعلتما	v
فوعلتم	v
فوعلتن	v
فوعل	v
فوعلت	v
فوعلا	v
فوعلتا	v
فوعلوا	v
فوعلن	v
أفاعل	v
نفاعل	v
تفاعل	v
تفاعلين	v
تفاعلان	v
تفاعلون	v
تفاعلن	v
يفاعل	v
تفاعل	v
يفاعلان	v
تفاعلان	v
يفاعلون	v
يفاعلن	v
أفاعل	v
نفاعل	v
تفاعل	v
تفاعلي	v
تفاعلا	v
تفاعلوا	v
تفاعلن	v
يفاعل	v
تفاعل	v
يفاعلا	v
تفاعلا	v
يفاعلوا	v
يفاعلن	v
أفاعل	v
نفاعل	v
تفاعل	v
تفاعلي	v
تفاعلا	v
تفاعلوا	v
تفاعلن	v
يفاعل	v
تفاعل	v
يفاعلا	v
تفاعلا	v
يفاعلوا	v
يفاعلن	v
أفاعلن	v
نفاعلن	v
تفاعلن	v
تفاعلن	v
تفاعلان	v
تفاعلن	v
تفاعلنان	v
يفاعلن	v
تفاعلن	v
يفاعلان	v
تفاعلان	v
يفاعلن	v
يفاعلنان	v
انفعلت‏	v
انفعلنا	v
انفعلت	v
انفعلت	v
انفعلتما	v
انفعلتم	v
انفعلتن	v
انفعل	v
انفعلت	v
انفعلا	v
انفعلتا	v
انفعلوا	v
انفعلن	v
أنفعل	v
ننفعل	v
تنفعل	v
تنفعلين	v
تنفعلان	v
تنفعلون	v
تنفعلن	v
ينفعل	v
تنفعل	v
ينفعلان	v
تنفعلان	v
ينفعلون	v
ينفعلن	v
أنفعل	v
ننفعل	v
تنفعل	v
تنفعلي	v
تنفعلا	v
تنفعلوا	v
تنفعلن	v
ينفعل	v
تنفعل	v
ينفعلا	v
تنفعلا	v
ينفعلوا	v
ينفعلن	v
أنفعل	v
ننفعل	v
تنفعل	v
تنفعلي	v
تنفعلا	v
تنفعلوا	v
تنفعلن	v
ينفعل	v
تنفعل	v
ينفعلا	v
تنفعلا	v
ينفعلوا	v
ينفعلن	v
أنفعلن	v
ننفعلن	v
تنفعلن	v
تنفعلن	v
تنفعلان	v
تنفعلن	v
تنفعلنان	v
ينفعلن	v
تنفعلن	v
ينفعلان	v
تنفعلان	v
ينفعلن	v
ينفعلنان	v
افتعلت‏	v
افتعلنا	v
افتعلت	v
افتعلت	v
افتعلتما	v
افتعلتم	v
افتعلتن	v
افتعل	v
افتعلت	v
افتعلا	v
افتعلتا	v
افتعلوا	v
افتعلن	v
أفتعل	v
نفتعل	v
تفتعل	v
تفتعلين	v
تفتعلان	v
تفتعلون	v
تفتعلن	v
يفتعل	v
تفتعل	v
يفتعلان	v
تفتعلان	v
يفتعلون	v
يفتعلن	v
أفتعل	v
نفتعل	v
تفتعل	v
تفتعلي	v
تفتعلا	v
تفتعلوا	v
تفتعلن	v
يفتعل	v
تفتعل	v
يفتعلا	v
تفتعلا	v
يفتعلوا	v
يفتعلن	v
أفتعل	v
نفتعل	v
تفتعل	v
تفتعلي	v
تفتعلا	v
تفتعلوا	v
تفتعلن	v
يفتعل	v
تفتعل	v
يفتعلا	v
تفتعلا	v
يفتعلوا	v
يفتعلن	v
أفتعلن	v
نفتعلن	v
تفتعلن	v
تفتعلن	v
تفتعلان	v
تفتعلن	v
تفتعلنان	v
يفتعلن	v
تفتعلن	v
يفتعلان	v
تفتعلان	v
يفتعلن	v
يفتعلنان	v
افعللت‏	v
افعللنا	v
افعللت	v
افعللت	v
افعللتما	v
افعللتم	v
افعللتن	v
افعل	v
افعلت	v
افعلا	v
افعلتا	v
افعلوا	v
افعللن	v
أفعل	v
نفعل	v
تفعل	v
تفعلين	v
تفعلان	v
تفعلون	v
تفعللن	v
يفعل	v
تفعل	v
يفعلان	v
تفعلان	v
يفعلون	v
يفعللن	v
أفعل	v
نفعل	v
تفعل	v
تفعلي	v
تفعلا	v
تفعلوا	v
تفعللن	v
يفعل	v
تفعل	v
يفعلا	v
تفعلا	v
يفعلوا	v
يفعللن	v
أفعل	v
نفعل	v
تفعل	v
تفعلي	v
تفعلا	v
تفعلوا	v
تفعللن	v
يفعل	v
تفعل	v
يفعلا	v
تفعلا	v
يفعلوا	v
يفعللن	v
أفعلن	v
نفعلن	v
تفعلن	v
تفعلن	v
تفعلان	v
تفعلن	v
تفعللنان	v
يفعلن	v
تفعلن	v
يفعلان	v
تفعلان	v
يفعلن	v
يفعللنان	v
تفوعلت‏	v
تفوعلنا	v
تفوعلت	v
تفوعلت	v
تفوعلتما	v
تفوعلتم	v
تفوعلتن	v
تفوعل	v
تفوعلت	v
تفوعلا	v
تفوعلتا	v
تفوعلوا	v
تفوعلن	v
أتفاعل	v
نتفاعل	v
تتفاعل	v
تتفاعلين	v
تتفاعلان	v
تتفاعلون	v
تتفاعلن	v
يتفاعل	v
تتفاعل	v
يتفاعلان	v
تتفاعلان	v
يتفاعلون	v
يتفاعلن	v
أتفاعل	v
نتفاعل	v
تتفاعل	v
تتفاعلي	v
تتفاعلا	v
تتفاعلوا	v
تتفاعلن	v
يتفاعل	v
تتفاعل	v
يتفاعلا	v
تتفاعلا	v
يتفاعلوا	v
يتفاعلن	v
أتفاعل	v
نتفاعل	v
تتفاعل	v
تتفاعلي	v
تتفاعلا	v
تتفاعلوا	v
تتفاعلن	v
يتفاعل	v
تتفاعل	v
يتفاعلا	v
تتفاعلا	v
يتفاعلوا	v
يتفاعلن	v
أتفاعلن	v
نتفاعلن	v
تتفاعلن	v
تتفاعلن	v
تتفاعلان	v
تتفاعلن	v
تتفاعلنان	v
يتفاعلن	v
تتفاعلن	v
يتفاعلان	v
تتفاعلان	v
يتفاعلن	v
يتفاعلنان	v
تفعلت‏	v
تفعلنا	v
تفعلت	v
تفعلت	v
تفعلتما	v
تفعلتم	v
تفعلتن	v
تفعل	v
تفعلت	v
تفعلا	v
تفعلتا	v
تفعلوا	v
تفعلن	v
أتفعل	v
نتفعل	v
تتفعل	v
تتفعلين	v
تتفعلان	v
تتفعلون	v
تتفعلن	v
يتفعل	v
تتفعل	v
يتفعلان	v
تتفعلان	v
يتفعلون	v
يتفعلن	v
أتفعل	v
نتفعل	v
تتفعل	v
تتفعلي	v
تتفعلا	v
تتفعلوا	v
تتفعلن	v
يتفعل	v
تتفعل	v
يتفعلا	v
تتفعلا	v
يتفعلوا	v
يتفعلن	v
أتفعل	v
نتفعل	v
تتفعل	v
تتفعلي	v
تتفعلا	v
تتفعلوا	v
تتفعلن	v
يتفعل	v
تتفعل	v
يتفعلا	v
تتفعلا	v
يتفعلوا	v
يتفعلن	v
أتفعلن	v
نتفعلن	v
تتفعلن	v
تتفعلن	v
تتفعلان	v
تتفعلن	v
تتفعلنان	v
يتفعلن	v
تتفعلن	v
يتفعلان	v
تتفعلان	v
يتفعلن	v
يتفعلنان	v
استفعلت‏	v
استفعلنا	v
استفعلت	v
استفعلت	v
استفعلتما	v
استفعلتم	v
استفعلتن	v
استفعل	v
استفعلت	v
استفعلا	v
استفعلتا	v
استفعلوا	v
استفعلن	v
أستفعل	v
نستفعل	v
تستفعل	v
تستفعلين	v
تستفعلان	v
تستفعلون	v
تستفعلن	v
يستفعل	v
تستفعل	v
يستفعلان	v
تستفعلان	v
يستفعلون	v
يستفعلن	v
أستفعل	v
نستفعل	v
تستفعل	v
تستفعلي	v
تستفعلا	v
تستفعلوا	v
تستفعلن	v
يستفعل	v
تستفعل	v
يستفعلا	v
تستفعلا	v
يستفعلوا	v
يستفعلن	v
أستفعل	v
نستفعل	v
تستفعل	v
تستفعلي	v
تستفعلا	v
تستفعلوا	v
تستفعلن	v
يستفعل	v
تستفعل	v
يستفعلا	v
تستفعلا	v
يستفعلوا	v
يستفعلن	v
أستفعلن	v
نستفعلن	v
تستفعلن	v
تستفعلن	v
تستفعلان	v
تستفعلن	v
تستفعلنان	v
يستفعلن	v
تستفعلن	v
يستفعلان	v
تستفعلان	v
يستفعلن	v
يستفعلنان	v
افعوعلت‏	v
افعوعلنا	v
افعوعلت	v
افعوعلت	v
افعوعلتما	v
افعوعلتم	v
افعوعلتن	v
افعوعل	v
افعوعلت	v
افعوعلا	v
افعوعلتا	v
افعوعلوا	v
افعوعلن	v
أفعوعل	v
نفعوعل	v
تفعوعل	v
تفعوعلين	v
تفعوعلان	v
تفعوعلون	v
تفعوعلن	v
يفعوعل	v
تفعوعل	v
يفعوعلان	v
تفعوعلان	v
يفعوعلون	v
يفعوعلن	v
أفعوعل	v
نفعوعل	v
تفعوعل	v
تفعوعلي	v
تفعوعلا	v
تفعوعلوا	v
تفعوعلن	v
يفعوعل	v
تفعوعل	v
يفعوعلا	v
تفعوعلا	v
يفعوعلوا	v
يفعوعلن	v
أفعوعل	v
نفعوعل	v
تفعوعل	v
تفعوعلي	v
تفعوعلا	v
تفعوعلوا	v
تفعوعلن	v
يفعوعل	v
تفعوعل	v
يفعوعلا	v
تفعوعلا	v
يفعوعلوا	v
يفعوعلن	v
أفعوعلن	v
نفعوعلن	v
تفعوعلن	v
تفعوعلن	v
تفعوعلان	v
تفعوعلن	v
تفعوعلنان	v
يفعوعلن	v
تفعوعلن	v
يفعوعلان	v
تفعوعلان	v
يفعوعلن	v
يفعوعلنان	v
افعولت‏	v
افعولنا	v
افعولت	v
افعولت	v
افعولتما	v
افعولتم	v
افعولتن	v
افعول	v
افعولت	v
افعولا	v
افعولتا	v
افعولوا	v
افعولن	v
أفعول	v
نفعول	v
تفعول	v
تفعولين	v
تفعولان	v
تفعولون	v
تفعولن	v
يفعول	v
تفعول	v
يفعولان	v
تفعولان	v
يفعولون	v
يفعولن	v
أفعول	v
نفعول	v
تفعول	v
تفعولي	v
تفعولا	v
تفعولوا	v
تفعولن	v
يفعول	v
تفعول	v
يفعولا	v
تفعولا	v
يفعولوا	v
يفعولن	v
أفعول	v
نفعول	v
تفعول	v
تفعولي	v
تفعولا	v
تفعولوا	v
تفعولن	v
يفعول	v
تفعول	v
يفعولا	v
تفعولا	v
يفعولوا	v
يفعولن	v
أفعولن	v
نفعولن	v
تفعولن	v
تفعولن	v
تفعولان	v
تفعولن	v
تفعولنان	v
يفعولن	v
تفعولن	v
يفعولان	v
تفعولان	v
يفعولن	v
يفعولنان	v
افعوللت‏	v
افعوللنا	v
افعوللت	v
افعوللت	v
افعوللتما	v
افعوللتم	v
افعوللتن	v
افعول	v
افعولت	v
افعولا	v
افعولتا	v
افعولوا	v
افعوللن	v
أفعال	v
نفعال	v
تفعال	v
تفعالين	v
تفعالان	v
تفعالون	v
تفعاللن	v
يفعال	v
تفعال	v
يفعالان	v
تفعالان	v
يفعالون	v
يفعاللن	v
أفعال	v
نفعال	v
تفعال	v
تفعالي	v
تفعالا	v
تفعالوا	v
تفعاللن	v
يفعال	v
تفعال	v
يفعالا	v
تفعالا	v
يفعالوا	v
يفعاللن	v
أفعال	v
نفعال	v
تفعال	v
تفعالي	v
تفعالا	v
تفعالوا	v
تفعاللن	v
يفعال	v
تفعال	v
يفعالا	v
تفعالا	v
يفعالوا	v
يفعاللن	v
أفعالن	v
نفعالن	v
تفعالن	v
تفعالن	v
تفعالان	v
تفعالن	v
تفعاللنان	v
يفعالن	v
تفعالن	v
يفعالان	v
تفعالان	v
يفعالن	v
يفعاللنان	v
فعللت	v
فعللنا	v
فعللت	v
فعللت	v
فعللتما	v
فعللتم	v
فعللتن	v
فعلل	v
فعللت	v
فعللا	v
فعللتا	v
فعللوا	v
فعللن	v
أفعلل	v
نفعلل	v
تفعلل	v
تفعللين	v
تفعللان	v
تفعللون	v
تفعللن	v
يفعلل	v
تفعلل	v
يفعللان	v
تفعللان	v
يفعللون	v
يفعللن	v
أفعلل	v
نفعلل	v
تفعلل	v
تفعللي	v
تفعللا	v
تفعللوا	v
تفعللن	v
يفعلل	v
تفعلل	v
يفعللا	v
تفعللا	v
يفعللوا	v
يفعللن	v
أفعلل	v
نفعلل	v
تفعلل	v
تفعللي	v
تفعللا	v
تفعللوا	v
تفعللن	v
يفعلل	v
تفعلل	v
يفعللا	v
تفعللا	v
يفعللوا	v
يفعللن	v
أفعللن	v
نفعللن	v
تفعللن	v
تفعللن	v
تفعللان	v
تفعللن	v
تفعللنان	v
يفعللن	v
تفعللن	v
يفعللان	v
تفعللان	v
يفعللن	v
يفعللنان	v
تفعللت	v
تفعللنا	v
تفعللت	v
تفعللت	v
تفعللتما	v
تفعللتم	v
تفعللتن	v
تفعلل	v
تفعللت	v
تفعللا	v
تفعللتا	v
تفعللوا	v
تفعللن	v
أتفعلل	v
نتفعلل	v
تتفعلل	v
تتفعللين	v
تتفعللان	v
تتفعللون	v
تتفعللن	v
يتفعلل	v
تتفعلل	v
يتفعللان	v
تتفعللان	v
يتفعللون	v
يتفعللن	v
أتفعلل	v
نتفعلل	v
تتفعلل	v
تتفعللي	v
تتفعللا	v
تتفعللوا	v
تتفعللن	v
يتفعلل	v
تتفعلل	v
يتفعللا	v
تتفعللا	v
يتفعللوا	v
يتفعللن	v
أتفعلل	v
نتفعلل	v
تتفعلل	v
تتفعللي	v
تتفعللا	v
تتفعللوا	v
تتفعللن	v
يتفعلل	v
تتفعلل	v
يتفعللا	v
تتفعللا	v
يتفعللوا	v
يتفعللن	v
أتفعللن	v
نتفعللن	v
تتفعللن	v
تتفعللن	v
تتفعللان	v
تتفعللن	v
تتفعللنان	v
يتفعللن	v
تتفعللن	v
يتفعللان	v
تتفعللان	v
يتفعللن	v
يتفعللنان	v
افعنللت‏	v
افعنللنا	v
افعنللت	v
افعنللت	v
افعنللتما	v
افعنللتم	v
افعنللتن	v
افعنلل	v
افعنللت	v
افعنللا	v
افعنللتا	v
افعنللوا	v
افعنللن	v
أفعنلل	v
نفعنلل	v
تفعنلل	v
تفعنللين	v
تفعنللان	v
تفعنللون	v
تفعنللن	v
يفعنلل	v
تفعنلل	v
يفعنللان	v
تفعنللان	v
يفعنللون	v
يفعنللن	v
أفعنلل	v
نفعنلل	v
تفعنلل	v
تفعنللي	v
تفعنللا	v
تفعنللوا	v
تفعنللن	v
يفعنلل	v
تفعنلل	v
يفعنللا	v
تفعنللا	v
يفعنللوا	v
يفعنللن	v
أفعنلل	v
نفعنلل	v
تفعنلل	v
تفعنللي	v
تفعنللا	v
تفعنللوا	v
تفعنللن	v
يفعنلل	v
تفعنلل	v
يفعنللا	v
تفعنللا	v
يفعنللوا	v
يفعنللن	v
أفعنللن	v
نفعنللن	v
تفعنللن	v
تفعنللن	v
تفعنللان	v
تفعنللن	v
تفعنللنان	v
يفعنللن	v
تفعنللن	v
يفعنللان	v
تفعنللان	v
يفعنللن	v
يفعنللنان	v
افعلللت‏	v
افعلللنا	v
افعلللت	v
افعلللت	v
افعلللتما	v
افعلللتم	v
افعلللتن	v
افعلل	v
افعللت	v
افعللا	v
افعللتا	v
افعللوا	v
افعلللن	v
أفعلل	v
نفعلل	v
تفعلل	v
تفعللين	v
تفعللان	v
تفعللون	v
تفعلللن	v
يفعلل	v
تفعلل	v
يفعللان	v
تفعللان	v
يفعللون	v
يفعلللن	v
أفعلل	v
نفعلل	v
تفعلل	v
تفعللي	v
تفعللا	v
تفعللوا	v
تفعلللن	v
يفعلل	v
تفعلل	v
يفعللا	v
تفعللا	v
يفعللوا	v
يفعلللن	v
أفعلل	v
نفعلل	v
تفعلل	v
تفعللي	v
تفعللا	v
تفعللوا	v
تفعلللن	v
يفعلل	v
تفعلل	v
يفعللا	v
تفعللا	v
يفعللوا	v
يفعلللن	v
أفعللن	v
نفعللن	v
تفعللن	v
تفعللن	v
تفعللان	v
تفعللن	v
تفعلللنان	v
يفعللن	v
تفعللن	v
يفعللان	v
تفعللان	v
يفعللن	v
يفعلللنان	v
فاعلة	n
فاعول	n
فعال	n
فعالة	n

مفعال	n
مفعل	n
مفعلة	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
أفعلاوى	n
افعيلال	n
فاعولاء	n
فعلعلان	n
فعيلاء	n
مفعولاء	n
فيعلاء	n
يفاعلاء	n
فعيلياء	n
إفعيلاء	n
فعنلاء	n
فعنلاء	n
فنعلولى	n
فعللايا	n
إفعيلى	n
تفاعيل	n
يفاعيل	n
مفاعيل	n
أفاعيل	n
فاعولى	n
فعيلى	n
فعالى	n
فعيلى	n
مفعلى	n
مفعلى	n
مفعلى	n
يفعلى	n
تفعال	n
فعلعل	n
فعاويل	n
فعاييل	n
فعاليل	n
فعاليل	n
فعنلال	n
فعليان	n
فعلوان	n
فعلايا	n
فعليا	n
فعلياء	n
فعلوتى	n
إفعلان	n
إفعلان	n
أفعلان	n
أفعلان	n
أفعلان	n
تفعلاء	n
أفعلاء	n
أفعلاء	n
أفعلاء	n
فنعلاء	n
فنعلاء	n
فاعلاء	n
فعالاء	n
فعالاء	n
فعلولى	n
فوعلاء	n
مفعلاء	n
فعولاء	n
فعولاء	n
فعيلاء	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
فعلعال	n
فعلعال	n
إفعال	n
أفعال	n
إفعلى	n
فعاعيل	n
فعاعيل	n
فوعالى	n
فعاعيل	n
فعفعيل	n
فعالين	n
فعالان	n
فيعلان	n
فيعلان	n
فيعلان	n
فيعلان	n
فيعلاء	n
فوعلان	n
مفعلان	n
مفعلى	n
تفعلوت	n
فواعيل	n
فياعيل	n
فعاليت	n
فعالي	n
فنعليل	n
أفعل 	n
أفعل 	n
إفعل	n
أفعل	n
إفعل	n
أفعل 	n
أفعل 	n
أفعل 	n
تفعل	n
تفعلة	n
تفعل	n
تفعلة	n
تفعلة	n
تفعلة	n
تفعلة	n
تفعلة	n
تفعلة	n
تفعل	n
تفعل	n
تفعل	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
يفعل	n
نفعل	n
فاعل 	n
فاعل	n
فيعل 	n
فيعل 	n
فوعل 	n
فأعل	n
فنعل	n
فنعل	n
فنعل 	n
فيعل 	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعال	n
فعال	n
فعال	n
فعال	n
فعال	n
فعال	n
فعيل 	n
فعيل 	n
فعيل	n
فعيل	n
فعيل	n
فعول	n
فعول	n
فعول	n
فعول 	n
فعول 	n
فعول 	n
فعأل	n
فعنل	n
فعنلة	n
فعنلة	n
فعول	n
فعول	n
فعول	n
فعلة	n
فعلة	n
فعلة	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلن	n
فعلن	n
فعلن	n
فعلن	n
فعلم	n
فعلم	n
فعلم	n
فعلم	n
فعلأ	n
فعلأ	n
فعلية	n
فعلية	n
فعلتة	n
فعلوة	n
فعلوة	n
فعلوة	n
أفاعل	n
أفاعل	n
أفنعل	n
يفعل	n
يفعل	n
يفنعل	n
مفاعل	n
يفاعل	n
تفاعل	n
تفاعل	n
تفعل	n
تفعل	n
تفعل	n
فاعول	n
فيعول	n
فوعال	n
فاعال	n
فوعال	n
فيعال	n
فيعال	n
فنعال	n
فوعلل	n
فعال	n
فعال	n
فعال	n
فعول	n
فعول	n
فعول	n
فعيل	n
فعيل	n
فعيل	n
فعنلى	n
فعنلى	n
فعنلى	n
فعيلى	n
فعيلأ	n
فعالى	n
فعولى	n
فعالى	n
فعال	n
فعالن	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعالية	n
فعالية	n
فعنلوة	n
فعنلية	n
إفعال	n
أفعال	n
أفعول	n
إفعيل	n
إفعول	n
مفعال	n
مفعيل	n
مفعول	n
مفعول	n
تفعيل	n
تفعول	n
تفعول	n
تفعال	n
تفعال	n
يفعول	n
يفعيل	n
تفعلة	n
أفعل	n
إفعل	n
مفعل	n
مفعل	n
فيعلى	n
فوعلى	n
فنعلو	n
فعلى	n
فاعلة	n
أفعلى	n
أفعلى	n
إفعلى	n
انفعل	n
فواعل	n
فواعل	n
فياعل	n
فناعل	n
فعوعل	n
فعيعل	n
فعنعل	n
فعاعل	n
فعلعل	n
فعلعل	n
فعلعل	n
فعلعل	n
فعوال	n
فعوال	n
فعالة	n
فعيال	n
فعيول	n
فعنال	n
فعانل	n
فعاول	n
فعايل	n
فعائل	n
فعائل	n
فعليل	n
فعامل	n
فعنلل	n
فعالل	n
فعيلل	n
فعولل	n
فعولل	n
فعول	n
فعلال	n
فعلال	n
فعليل	n
فعلول	n
فعلول	n
فعليل	n
فعيل	n
فعول	n
فعلاء	n
فعلاء	n
فعلاء	n
فعلاء	n
فعلاء	n
فعلاء	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
فعلنى	n
فعلنى	n
فعلوت	n
فعلوت	n
فعليت	n
فعلين	n
فعلنية	n
فعلوى	n
فعلوة	n
فعللل	n
فعلل	n
فعللل	n
فعلل	n
فعلل	n
فعلالل	n
فعلاليل	n
فعللى	n
فعللانة	n
فعللول	n
فعللول	n
فعلليل	n
فعلنلول	n
فعلول	n
فعليل	n
فعنليل	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعل	n
فعلل	n
فعيللان	n
فعوللان	n
فعاللاء	n
فعلالاء	n
فنعل	n
فنعلل	n
فوعلل	n
فعل	n
فعل	n
فعالل	n
فعالل	n
فعيلل	n
فعولل	n
فعنلل	n
فعنلل	n
فعلل	n
فعلل	n
فعليل	n
فعليل	n
فعلول	n
فعلول	n
فعلول	n
فعلول	n
فعلول	n
فعلال	n
فعلال	n
فعلال	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعلى	n
فعلى	n
فعللى	n
فعللى	n
فعللى	n
فعللى	n
فعلية	n
فعلوة	n
فعوللى	n
فيعلول	n
فنعليل	n
فعاليل	n
فعاليل	n
فعاللى	n
فعنلال	n
فعلال	n
فعنليل	n
فعلويل	n
فعلليل	n
فعفعيل	n
فعللوت	n
فعللول	n
فعللان	n
فعللان	n
فعللان	n
فعللاء	n
فعللاء	n
فعلاء	n
فعللاء	n
فعللاء	n
فعليل	n
مفعل	n
مفعل	n
فاعل	n
مفعل	n
مفاعل	n
مفعل	n
مفتعل	n
مفعل	n
منفعل	n
متفاعل	n
متفعل	n
مستفعل	n
مفعال	n
مفعوعل	n
مفعول	n
مفعلل	n
متفعل	n
مسفعل	n
مفأعل	n
مفتعل	n
مفعئل	n
مفعفل	n
مفعل	n
مفعلت	n
مفعلس	n
مفعلل	n
مفعلم	n
مفعلن	n
مفعمل	n
مفعنل	n
مفعهل	n
مفعول	n
مفعيل	n
مفمعل	n
مفنعل	n
مفهعل	n
مفوعل	n
مفيعل	n
ممفعل	n
منفعل	n
مهفعل	n
ميفعل	n
متفعلل	n
مفعلل	n
مفعنلل	n
متفتعل	n
متفعئل	n
متفعل	n
متفعلت	n
متفعلل	n
متفعنل	n
متفعول	n
متفعيل	n
متفوعل	n
متفيعل	n
متمفعل	n
مفتعئل	n
مفتعل	n
مفعألل	n
مفعلل	n
مفعنل	n
مفعنلل	n
مفعنمل	n
مفعمل	n
مفعيل	n
مفونعل	n
مفعئل	n
مفعلل	n
مفعهل	n
مفعول	n
مفلعل	n
مفعمل	n
مفوعل	n
منفعل	n
مفعول	n
مفول	n
مفيل	n
مفعل	n
مفاعل	n
مفعل	n
مفتعل	n
مفعل	n
منفعل	n
متفاعل	n
متفعل	n
مستفعل	n
مفعال	n
مفعوعل	n
مفعول	n
مفعلل	n
متفعل	n
مسفعل	n
مفأعل	n
مفتعل	n
مفعأل	n
مفعفل	n
مفعلى	n
مفعلت	n
مفعلس	n
مفعلل	n
مفعلم	n
مفعلن	n
مفعمل	n
مفعنل	n
مفعهل	n
مفعول	n
مفعيل	n
مفمعل	n
مفنعل	n
مفهعل	n
مفوعل	n
مفيعل	n
ممفعل	n
منفعل	n
مهفعل	n
ميفعل	n
متفعلل	n
مفعلل	n
مفعنلل	n
متفتعل	n
متفعأل	n
متفعلى	n
متفعلت	n
متفعلل	n
متفعنل	n
متفعول	n
متفعيل	n
متفوعل	n
متفيعل	n
متمفعل	n
مفتعأل	n
مفتعلى	n
مفعألل	n
مفعلل	n
مفعنلى	n
مفعنلل	n
مفعنمل	n
مفعمل	n
مفعيل	n
مفونعل	n
مفعأل	n
مفعلل	n
مفعهل	n
مفعول	n
مفلعل	n
مفمعل	n
مفوعل	n
منفعل	n
فاعلة	n
فاعول	n
فعال	n
فعالة	n
مفعال	n
مفعل	n
مفعلة	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
أفعلاوى	n
افعيلال	n
فاعولاء	n
فعلعلان	n
فعيلاء	n
مفعولاء	n
فيعلاء	n
يفاعلاء	n
فعيلياء	n
إفعيلاء	n
فعنلاء	n
فعنلاء	n
فنعلولى	n
فعللايا	n
إفعيلى	n
تفاعيل	n
يفاعيل	n
مفاعيل	n
أفاعيل	n
فاعولى	n
فعيلى	n
فعالى	n
فعيلى	n
مفعلى	n
مفعلى	n
مفعلى	n
يفعلى	n
تفعال	n
فعلعل	n
فعاويل	n
فعاييل	n
فعاليل	n
فعاليل	n
فعنلال	n
فعليان	n
فعلوان	n
فعلايا	n
فعليا	n
فعلياء	n
فعلوتى	n
إفعلان	n
إفعلان	n
أفعلان	n
أفعلان	n
أفعلان	n
تفعلاء	n
أفعلاء	n
أفعلاء	n
أفعلاء	n
فنعلاء	n
فنعلاء	n
فاعلاء	n
فعالاء	n
فعالاء	n
فعلولى	n
فوعلاء	n
مفعلاء	n
فعولاء	n
فعولاء	n
فعيلاء	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
فعلان	n
