الكلمة الأصلية	الجذر	المصدر	النوع
تخلق	خلق	خلق	فعل
تخلقونه	خلق	خلق	فعل
وتخلقون	خلق	خلق	فعل
الخالقين	خلق	خالق	اسم
الخالقون	خلق	خالق	اسم
بخلاقهم	خلق	خلاق	اسم
بخلاقكم	خلق	خلاق	اسم
الخلق	خلق	خلق	اسم
بالخلق	خلق	خلق	اسم
بخلقهن	خلق	خلق	اسم
خلق	خلق	خلق	اسم
خلقا	خلق	خلق	اسم
خلقه	خلق	خلق	اسم
خلقهم	خلق	خلق	اسم
خلقها	خلق	خلق	اسم
خلقهن	خلق	خلق	اسم
خلقني	خلق	خلق	فعل
خلقك	خلق	خلق	فعل
خلقكم	خلق	خلق	فعل
فخلق	خلق	خلق	فعل
وخلق	خلق	خلق	فعل
وخلقهم	خلق	خلق	فعل
كخلقه	خلق	خلق	اسم
خلقت	خلق	خلق	فعل
خلقته	خلق	خلق	فعل
خلقتني	خلق	خلق	فعل
خلقتك	خلق	خلق	فعل
وخلقته	خلق	خلق	فعل
خلقنا	خلق	خلق	فعل
خلقناه	خلق	خلق	فعل
خلقناهم	خلق	خلق	فعل
خلقناهما	خلق	خلق	فعل
خلقناكم	خلق	خلق	فعل
فخلقنا	خلق	خلق	فعل
وخلقناكم	خلق	خلق	فعل
مخلقة	خلق	مخلقة	اسم
نخلقكم	خلق	خلق	فعل
يخلق	خلق	خلق	فعل
يخلقكم	خلق	خلق	فعل
ويخلق	خلق	خلق	فعل
يخلقوا	خلق	خلق	فعل
يخلقون	خلق	خلق	فعل
الأخلاء	خلل	خل	اسم
الخالية	خلو	خالية	اسم
بخمرهن	خمر	خمار	اسم
الخمر	خمر	خمر	اسم
خمرا	خمر	خمر	اسم
خمسة	خمس	خمسة	اسم
مخمصة	خمص	مخمصة	اسم
الخنزير	خنزير	خنزير	اسم
خنزير	خنزير	خنزير	اسم
والخنازير	خنزير	خنزير	اسم
الخناس	خنس	خناس	اسم
بالخنس	خنس	خنس	اسم
خوار	خور	خوار	اسم
الخائضين	خوض	خائض	اسم
أخاف	خوف	خاف	فعل
فأخاف	خوف	خاف	فعل
وأخاف	خوف	خاف	فعل
تخافن	خوف	خاف	فعل
تخافا	خوف	خاف	فعل
تخافوا	خوف	خاف	فعل
تخافوهم	خوف	خاف	فعل
تخافون	خوف	خاف	فعل
تخافونهم	خوف	خاف	فعل
تخافي	خوف	خاف	فعل
تخف	خوف	خاف	فعل
تخوف	خوف	تخوف	فعل
تخويفا	خوف	تخويف	اسم
خائفين	خوف	خائف	اسم
خائفا	خوف	خائف	اسم
خاف	خوف	خاف	فعل
وخاف	خوف	خاف	فعل
خافوا	خوف	خاف	فعل
وخافوني	خوف	خاف	فعل
خفتكم	خوف	خاف	فعل
خفتم	خوف	خاف	فعل
الخوف	خوف	خوف	اسم
خوف	خوف	خوف	اسم
خوفهم	خوف	خوف	اسم
والخوف	خوف	خوف	اسم
خيفة	خوف	خيفة	اسم
خيفته	خوف	خيفة	اسم
وخيفة	خوف	خيفة	اسم
كخيفتكم	خوف	خيفة	اسم
ونخوفهم	خوف	خوّف	فعل
يخاف	خوف	خاف	فعل
يخافه	خوف	خاف	فعل
يخافا	خوف	خاف	فعل
يخافون	خوف	خاف	فعل
ويخافون	خوف	خاف	فعل
يخوف	خوف	خوّف	فعل
ويخوفونك	خوف	خوّف	فعل
وخالاتكم	خول	خالة	اسم
أخوالكم	خول	خال	اسم
خوان	خون	خوان	اسم
للخائنين	خون	خائن	اسم
الخائنين	خون	خائن	اسم
واختار	خير	اختار	فعل
اخترتك	خير	اختار	فعل
اخترنهم	خير	اختار	فعل
للخير	خير	خير	اسم
الأخيار	خير	خير	اسم
بالخير	خير	خير	اسم
بخير	خير	خير	اسم
خير	خير	خير	اسم
خيرا	خير	خير	اسم
والخير	خير	خير	اسم
وخير	خير	خير	اسم
الخيرات	خير	خيرة	اسم
بالخيرات	خير	خيرة	اسم
خيرت	خير	خيرة	اسم
يتخيرون	خير	تخير	فعل
ويختار	خير	اختار	فعل
الخياط	خيط	خياط	اسم
الخيط	خيط	خيط	اسم
مختال	خيل	مختال	اسم
مختالا	خيل	مختال	اسم
الخيل	خيل	خيل	اسم
الخيام	خيم	خيام	اسم
لداود	دود	داود	اسم
داود	دود	داود	اسم
وداود	دود	داود	اسم
كدأب	دءب	دأب	اسم
الدواب	دبب	دواب	اسم
أدبارهم	دبر	دبر	اسم
يدبر	دبر	أدبر	فعل
أدبارها	دبر	دبر	اسم
أدباركم	دبر	دبر	اسم
أدبر	دبر	أدبر	فعل
مدبرا	دبر	مدبر	اسم
مدبرين	دبر	مدبر	اسم
ليدبروا	دبر	ادّبر	فعل
الأدبار	دبر	دبر	اسم
الأدبار	دبر	دبر	اسم
الدبر	دبر	دبر	اسم
مدحورا	دحر	مدحور	اسم
ليدحضوا	دحض	أدحض	فعل
المدحضين	دحض	مدحض	اسم
تدخرون	دخر	ادّخر	فعل
داخرين	دخر	داخر	اسم
داخرين	دخر	داخر	اسم
داخرون	دخر	داخر	اسم
ادخل	دخل	دخل	فعل
ادخلا	دخل	دخل	فعل
ادخلوا	دخل	دخل	فعل
ادخلوها	دخل	دخل	فعل
فادخلوا	دخل	دخل	فعل
فادخلوها	دخل	دخل	فعل
وادخلوا	دخل	دخل	فعل
ادخلي	دخل	دخل	فعل
فادخلي	دخل	دخل	فعل
وادخلي	دخل	دخل	فعل
أدخلني	دخل	دخل	فعل
وأدخل	دخل	أدخل	فعل
وأدخلهم	دخل	أدخل	فعل
وأدخلنا	دخل	أدخل	فعل
وأدخلني	دخل	أدخل	فعل
ولأدخلنهم	دخل	أدخل	فعل
ولأدخلنكم	دخل	أدخل	فعل
وأدخلناه	دخل	أدخل	فعل
وأدخلناهم	دخل	أدخل	فعل
أدخلوا	دخل	دخل	فعل
فأدخلوا	دخل	دخل	فعل
تدخل	دخل	دخل	فعل
لتدخلن	دخل	دخل	فعل
تدخلوا	دخل	دخل	فعل
تدخلوها	دخل	دخل	فعل
الداخلين	دخل	داخل	اسم
داخلون	دخل	داخل	اسم
دخلا	دخل	دخل	فعل
دخله	دخل	دخل	فعل
دخلتم	دخل	دخل	فعل
دخلتموه	دخل	دخل	فعل
دخلوا	دخل	دخل	فعل
دخلوه	دخل	دخل	فعل
مدخل	دخل	مدخل	اسم
مدخلا	دخل	مدخل	اسم
سندخلهم	دخل	أدخل	فعل
ندخلها	دخل	دخل	فعل
وندخلهم	دخل	أدخل	فعل
وندخلكم	دخل	أدخل	فعل
لندخلنهم	دخل	أدخل	فعل
ليدخل	دخل	أدخل	فعل
يدخل	دخل	أدخل	فعل
يدخله	دخل	أدخل	فعل
يدخلنا	دخل	أدخل	فعل
سيدخلهم	دخل	أدخل	فعل
فيدخلهم	دخل	أدخل	فعل
فسيدخلهم	دخل	أدخل	فعل
ويدخله	دخل	أدخل	فعل
ويدخلهم	دخل	أدخل	فعل
ويدخلكم	دخل	أدخل	فعل
ليدخلنهم	دخل	أدخل	فعل
يدخلوها	دخل	أدخل	فعل
وليدخلوا	دخل	أدخل	فعل
يدخلون	دخل	دخل	فعل
يدخلونها	دخل	دخل	فعل
سيدخلون	دخل	دخل	فعل
فادارءتم	درء	ادارأ	فعل
الدرجات	درج	درجة	اسم
مدرارا	درر	مدرار	اسم
تدرسون	درس	درس	فعل
دراستهم	درس	دراسة	اسم
درست	درس	درس	فعل
ودرسوا	درس	درس	فعل
يدرسونها	درس	درس	فعل
لمدركون	درك	مدرك	اسم
أدركه	درك	أدرك	فعل
الدرك	درك	درك	اسم
اداركوا	درك	ادارك	فعل
ادارك	درك	ادارك	فعل
أدراك	دري	أدرى	فعل
أدراكم	دري	أدرى	فعل
أدرى	دري	أدرى	فعل
ادع	دعو	دعا	فعل
ادعهن	دعو	دعا	فعل
فادع	دعو	دعا	فعل
وادع	دعو	دعا	فعل
ادعوا	دعو	دعا	فعل
ادعوهم	دعو	دعا	فعل
ادعوني	دعو	دعا	فعل
فادعوا	دعو	دعا	فعل
فادعوه	دعو	دعا	فعل
فادعوهم	دعو	دعا	فعل
وادعوا	دعو	دعا	فعل
وادعوه	دعو	دعا	فعل
أدعوا	دعو	دعا	فعل
أدعوكم	دعو	دعا	فعل
وأدعوا	دعو	دعا	فعل
تدعهم	دعو	دعا	فعل
لتدعوهم	دعو	دعا	فعل
تدعونا	دعو	دعا	فعل
تدعوا	دعو	دعا	فعل
تدعوهم	دعو	دعا	فعل
وتدعوا	دعو	دعا	فعل
أتدعون	دعو	دعا	فعل
تدعونه	دعو	دعا	فعل
تدعوننا	دعو	دعا	فعل
تدعونني	دعو	دعا	فعل
ستدعون	دعو	دعا	فعل
تدعى	دعو	دعا	فعل
الداعي	دعو	داعي	اسم
الداعي	دعو	داعي	اسم
داعي	دعو	داعي	اسم
وداعيا	دعو	داعي	اسم
دعا	دعو	دعا	فعل
دعاه	دعو	دعا	فعل
دعاني	دعو	دعا	فعل
دعانا	دعو	دعا	فعل
دعاكم	دعو	دعا	فعل
فدعا	دعو	دعا	فعل
الدعاء	دعو	دعاء	اسم
بدعاء	دعو	دعاء	اسم
بدعائك	دعو	دعاء	اسم
دعاء	دعو	دعاء	اسم
دعائي	دعو	دعاء	اسم
دعاءه	دعو	دعاء	اسم
دعاءكم	دعو	دعاء	اسم
دعائهم	دعو	دعاء	اسم
دعاؤكم	دعو	دعاء	اسم
كدعاء	دعو	دعاء	اسم
دعوا	دعو	دعا	فعل
فدعوهم	دعو	دعا	فعل
دعوة	دعو	دعوة	اسم
دعوتهم	دعو	دعا	فعل
دعوتك	دعو	دعوة	اسم
دعوتكم	دعو	دعا	فعل
دعوتكما	دعو	دعوة	اسم
أدعوتموهم	دعو	دعا	فعل
دعواهم	دعو	دعوى	اسم
دعواهم	دعو	دعوى	اسم
أدعياءكم	دعو	دعي	اسم
أدعيائهم	دعو	دعي	اسم
دعيتم	دعو	دعا	فعل
سندع	دعو	دعا	فعل
ندع	دعو	دعا	فعل
أندعوا	دعو	دعا	فعل
ندعوه	دعو	دعا	فعل
ندعوا	دعو	دعا	فعل
يدع	دعو	دعا	فعل
فليدع	دعو	دعا	فعل
وليدع	دعو	دعا	فعل
يدعوه	دعو	دعا	فعل
يدعوهم	دعو	دعا	فعل
يدعوك	دعو	دعا	فعل
يدعوكم	دعو	دعا	فعل
ويدع	دعو	دعا	فعل
يدعوا	دعو	دعا	فعل
تدعون	دعو	دعا	فعل
يدعون	دعو	دعا	فعل
يدعونه	دعو	دعا	فعل
يدعونني	دعو	دعا	فعل
ويدعون	دعو	دعا	فعل
ويدعوننا	دعو	دعا	فعل
يدعى	دعو	دعا	فعل
ادفع	دفع	دفع	فعل
ادفعوا	دفع	دفع	فعل
فادفعوا	دفع	دفع	فعل
دافع	دفع	دافع	اسم
دفع	دفع	دفع	اسم
دفعتم	دفع	دفع	فعل
يدفع	دفع	دافع	فعل
لدلوك	دلك	دلوك	اسم
أدلك	دلل	دلّ	فعل
أدلكم	دلل	دلّ	فعل
الدماء	دم	دم	اسم
دماءكم	دم	دم	اسم
تدمر	دمر	ّدمّر	فعل
تدميرا	دمر	تدمير	اسم
دمر	دمر	دمر	فعل
دمرنا	دمر	دمر	فعل
دمرناهم	دمر	دمر	فعل
فدمرناهم	دمر	دمر	فعل
فدمرناها	دمر	دمر	فعل
ودمرنا	دمر	دمر	فعل
الدمع	دمع	دمع	اسم
الدنيا	دنو	دنيا	اسم
أدنى	دنو	أدنى	اسم
الأدنى	دنو	أدنى	اسم
مدهامتان	دهم	مدهامة	اسم
مدهنون	دهن	مدهن	اسم
بالدهن	دهن	دهن	اسم
كالدهان	دهن	دهان	اسم
أدهى	دهو	أدهى	اسم
الدوائر	دور	دائرة	اسم
دياركم	دور	دار	اسم
ديارهم	دور	دار	اسم
الدار	دور	دار	اسم
الديار	دور	ديار	اسم
الدين	دين	دين	اسم
للدين	دين	الدين	اسم
لمدينون	دين	مدين	اسم
مدين	دين	مدين	اسم
مدينين	دين	مدين	اسم
بالدين	دين	دين	اسم
تلك	ذا	تلك	أداة
تلكم	ذا	تلك	أداة
تلكما	ذا	تلك	أداة
فتلك	ذا	تلك	أداة
أذلك	ذا	ذلك	أداة
ذلك	ذا	ذلك	أداة
ذلكم	ذا	ذلك	أداة
ذلكما	ذا	ذلك	أداة
بذلك	ذا	ذلك	أداة
فلذلك	ذا	ذلك	أداة
فذلك	ذا	ذلك	أداة
فذلكم	ذا	ذلك	أداة
فذلكن	ذا	ذلك	أداة
فبذلك	ذا	ذلك	أداة
وذلك	ذا	ذلك	أداة
وبذلك	ذا	ذلك	أداة
وذلكم	ذا	ذلكم	أداة
هاتين	ذا	هاتين	أداة
أفبهذا	ذا	هذا	أداة
لهذا	ذا	هذا	أداة
بهذا	ذا	هذا	أداة
هذا	ذا	هذا	أداة
هذان	ذا	هذان	أداة
هذن	ذا	هذان	أداة
هذه	ذا	هذه	أداة
وهذه	ذا	هذه	أداة
أهكذا	ذا	هكذا	أداة
ذا	ذا	ذا	أداة
كذلكم	ذا	كذلك	أداة
الذئب	ذءب	ذئب	اسم
مذؤوما	ذءم	مذؤوم	اسم
الذباب	ذبب	ذباب	اسم
ذبابا	ذبب	ذبابة	اسم
أذبحك	ذبح	ذبح	فعل
لأذبحنه	ذبح	ذبح	فعل
تذبحوا	ذبح	ذبح	فعل
ذبح	ذبح	ذبح	اسم
بذبح	ذبح	ذبح	اسم
فذبحوها	ذبح	ذبح	فعل
يذبح	ذبح	ذبّح	فعل
يذبحون	ذبح	ذبّح	فعل
ويذبحون	ذبح	ذبّح	فعل
مذبذبين	ذبذب	مذبذب	اسم
ذرأ	ذرء	ذرأ	فعل
ذرأنا	ذرء	ذرأ	فعل
ذرأكم	ذرء	ذرأ	فعل
ذرة	ذرر	ذرة	اسم
ذرية	ذرر	ذرية	اسم
ذريتي	ذرر	ذرية	اسم
ذريته	ذرر	ذرية	اسم
ذريتهم	ذرر	ذرية	اسم
ذريتهما	ذرر	ذرية	اسم
ذريتنا	ذرر	ذرية	اسم
تذروه	ذرر	ذرى	فعل
ذراعا	ذرع	ذراع	اسم
ذراعيه	ذرع	ذراع	اسم
ذرعا	ذرع	ذرع	اسم
ذرعها	ذرع	ذرع	اسم
مذعنين	ذعن	مذعن	اسم
للأذقان	ذقن	ذقن	اسم
الأذقان	ذقن	ذقن	اسم
واذكر	ذكر	ذكر	فعل
واذكرن	ذكر	ذكر	فعل
اذكروا	ذكر	ذكر	فعل
فاذكروا	ذكر	ذكر	فعل
فاذكروني	ذكر	ذكر	فعل
واذكروا	ذكر	ذكر	فعل
واذكروه	ذكر	ذكر	فعل
أذكره	ذكر	ذكّر	فعل
أذكركم	ذكر	ذكّر	فعل
اذكر	ذكر	ذكّر	فعل
اذكرني	ذكر	ذكر	فعل
تذكر	ذكر	اذكر	فعل
فتذكر	ذكر	اذكر	فعل
لتذكرة	ذكر	تذكرة	اسم
التذكرة	ذكر	تذكرة	اسم
تذكرة	ذكر	تذكرة	اسم
تذكروا	ذكر	تذكر	فعل
تذكرون	ذكر	تذكر	فعل
تتذكرون	ذكر	تذكر	فعل
ستذكرونهن	ذكر	تذكر	فعل
فستذكرون	ذكر	تذكر	فعل
وتذكيري	ذكر	تذكير	اسم
للذاكرين	ذكر	ذاكر	اسم
والذاكرين	ذكر	ذاكر	اسم
والذاكرات	ذكر	ذاكرة	اسم
لذكر	ذكر	ذكر	اسم
لذكري	ذكر	ذكر	اسم
الذكر	ذكر	ذكر	اسم
ذكر	ذكر	ذكر	اسم
ذكرا	ذكر	ذكر	اسم
ذكره	ذكر	ذكر	اسم
ذكرهم	ذكر	ذكر	فعل
ذكرها	ذكر	ذكر	اسم
ذكرك	ذكر	ذكر	اسم
ذكركم	ذكر	ذكر	فعل
بالذكر	ذكر	ذكر	اسم
بذكرهم	ذكر	ذكر	اسم
فذكر	ذكر	ذكر	فعل
ولذكر	ذكر	ذكر	اسم
والذكر	ذكر	ذكر	اسم
وذكر	ذكر	ذكر	فعل
وذكرا	ذكر	ذكر	اسم
وذكرهم	ذكر	ذكر	فعل
كذكركم	ذكر	ذكر	اسم
ذكرت	ذكر	ذكر	فعل
ذكرتم	ذكر	ذكر	فعل
ذكروا	ذكر	ذكر	فعل
وذكروا	ذكر	ذكر	فعل
الذكرى	ذكر	ذكرى	اسم
ذكرى	ذكر	ذكرى	اسم
وذكرى	ذكر	ذكرى	اسم
مذكورا	ذكر	مذكور	اسم
ونذكرك	ذكر	ذكر	فعل
يتذكر	ذكر	تذكر	فعل
وليتذكر	ذكر	تذكر	فعل
يتذكرون	ذكر	تذكر	فعل
يذكر	ذكر	ذكر	فعل
يذكرهم	ذكر	ذكر	فعل
سيذكر	ذكر	ذكر	فعل
وليذكر	ذكر	ذكر	فعل
ويذكر	ذكر	ذكر	فعل
ليذكروا	ذكر	ذكر	فعل
ويذكروا	ذكر	ذكر	فعل
يذكرون	ذكر	ذكر	فعل
للذكر	ذكر	ذكر	اسم
آلذاكرين	ذكر	ذاكر	اسم
لذكورنا	ذكر	ذكر	اسم
مدكر	ذكر	مدكر	اسم
الذكران	ذكر	ذكر	اسم
الذكور	ذكر	ذكر	اسم
ذكرانا	ذكر	ذكر	اسم
ذكيتم	ذكو	ذكى	فعل
أذلة	ذلل	ذليل	اسم
الأذل	ذلل	أذل	اسم
الأذلين	ذلل	أذل	اسم
الذل	ذلل	ذل	اسم
الذلة	ذلل	ذلة	اسم
ذللا	ذلل	ذلل	اسم
ذلول	ذلل	ذلول	اسم
ذلولا	ذلل	ذلول	اسم
تذليلا	ذلل	تذليل	اسم
مذموم	ذمم	مذموم	اسم
ذمة	ذمم	ذمة	اسم
لذنبك	ذنب	ذنب	اسم
لذنوبهم	ذنب	ذنب	اسم
الذنوب	ذنب	ذنب	اسم
ذنب	ذنب	ذنب	اسم
ذنبه	ذنب	ذنب	اسم
ذنبك	ذنب	ذنب	اسم
ذنوب	ذنب	ذنب	اسم
ذنوبا	ذنب	ذنب	اسم
ذنوبهم	ذنب	ذنب	اسم
ذنوبنا	ذنب	ذنب	اسم
ذنوبكم	ذنب	ذنب	اسم
بذنبه	ذنب	ذنب	اسم
بذنبهم	ذنب	ذنب	اسم
بذنوب	ذنب	ذنب	اسم
بذنوبهم	ذنب	ذنب	اسم
بذنوبنا	ذنب	ذنب	اسم
بذنوبكم	ذنب	ذنب	اسم
اذهب	ذهب	ذهب	فعل
فاذهب	ذهب	ذهب	فعل
اذهبا	ذهب	ذهب	فعل
فاذهبا	ذهب	ذهب	فعل
اذهبوا	ذهب	اذهبوا	فعل
أذهبتم	ذهب	أذهب	فعل
تذهب	ذهب	ذهب	فعل
وتذهب	ذهب	ذهب	فعل
لتذهبوا	ذهب	ذهب	فعل
تذهبوا	ذهب	ذهب	فعل
تذهبون	ذهب	ذهب	فعل
ذاهب	ذهب	ذاهب	اسم
ذهاب	ذهب	ذهاب	اسم
لذهب	ذهب	ذهب	فعل
الذهب	ذهب	ذهب	اسم
ذهب	ذهب	ذهب	فعل
ذهبا	ذهب	ذهب	اسم
ذهبت	ذهب	ذهب	فعل
ذهبوا	ذهب	ذهب	فعل
لنذهبن	ذهب	ذهب	فعل
نذهبن	ذهب	ذهب	فعل
ليذهب	ذهب	أذهب	فعل
يذهب	ذهب	أذهب	فعل
يذهبكم	ذهب	أذهب	فعل
فيذهب	ذهب	أذهب	فعل
ويذهب	ذهب	أذهب	فعل
ويذهبا	ذهب	أذهب	فعل
يذهبن	ذهب	أذهب	فعل
يذهبوا	ذهب	أذهب	فعل
تذهل	ذهل	ذهل	فعل
وذا	ذو	ذا	أداة
ذات	ذو	ذات	اسم
وذات	ذو	ذات	اسم
ذو	ذو	ذو	أداة
ذي	ذو	ذو	أداة
ولذي	ذو	ذو	أداة
وبذي	ذو	ذو	أداة
لذو	ذو	ذو	اسم
ذوا	ذو	ذو	أداة
ذواتا	ذو	ذوات	أداة
ذواتى	ذو	ذوات	أداة
ذوي	ذو	ذوي	أداة
بذات	ذو	ذات	أداة
تذودان	ذود	ذاد	فعل
أذاقهم	ذوق	أذاق	فعل
فأذاقهم	ذوق	أذاق	فعل
فأذقها	ذوق	أذاق	فعل
لأذقناك	ذوق	أذاق	فعل
أذقنا	ذوق	أذاق	فعل
أذقناه	ذوق	أذاق	فعل
وتذوقوا	ذوق	تذوّق	فعل
لذائقوا	ذوق	ذائق	اسم
لذائقون	ذوق	ذائق	اسم
ذائقة	ذوق	ذائق	اسم
ذاقا	ذوق	ذاق	فعل
فذاقت	ذوق	ذاق	فعل
ذاقوا	ذوق	ذاق	فعل
فذاقوا	ذوق	ذاق	فعل
ذق	ذوق	ذاق	فعل
ذوقوا	ذوق	ذاق	فعل
فذوقوا	ذوق	ذاق	فعل
فذوقوه	ذوق	ذاق	فعل
وذوقوا	ذوق	ذاق	فعل
لنذيقهم	ذوق	أذاق	فعل
فلنذيقن	ذوق	أذاق	فعل
ولنذيقنهم	ذوق	أذاق	فعل
نذيقهم	ذوق	أذاق	فعل
نذقه	ذوق	أذاق	فعل
ونذيقه	ذوق	أذاق	فعل
ليذوقوا	ذوق	ذاق	فعل
يذوقوا	ذوق	ذاق	فعل
يذوقون	ذوق	ذاق	فعل
فليذوقوه	ذوق	ذاق	فعل
ليذيقهم	ذوق	أذاق	فعل
وليذيقكم	ذوق	أذاق	فعل
ويذيق	ذوق	أذاق	فعل
ليذوق	ذوق	ذاق	فعل
أذاعوا	ذيع	أذاع	فعل
رؤوس	رءس	رأس	اسم
رؤوسكم	رءس	رأس	اسم
الرأس	رءس	رأس	اسم
لرؤوف	رءف	رؤوف	اسم
أرأيتم	رءي	رأى	فعل
يروا	رءي	رأى	فعل
أرنا	رءي	أرى	فعل
أرني	رءي	أرى	فعل
وأرنا	رءي	أرى	فعل
أروني	رءي	أرى	فعل
فأروني	رءي	أرى	فعل
أرى	رءي	أرى	فعل
أريك	رءي	أرى	فعل
أريكم	رءي	أرى	فعل
أريكهم	رءي	أرى	فعل
أركم	رءي	أرى	فعل
وأرى	رءي	أرى	فعل
لأريناكهم	رءي	أرى	فعل
أريناك	رءي	أرى	فعل
سأريكم	رءي	أرى	فعل
تر	رءي	رأى	فعل
ترآ	رءي	تراءى	فعل
تراءت	رءي	تراءى	فعل
لترون	رءي	رأى	فعل
لترونها	رءي	رأى	فعل
تروا	رءي	رأى	فعل
تروها	رءي	رأى	فعل
ترون	رءي	رأى	فعل
ترونهم	رءي	رأى	فعل
ترونها	رءي	رأى	فعل
ترى	رءي	رأى	فعل
تريني	رءي	أرى	فعل
تراهم	رءي	رأى	فعل
فتراه	رءي	رأى	فعل
فترى	رءي	رأى	فعل
فتراه	رءي	رأى	فعل
وترى	رءي	رأى	فعل
وتريهم	رءي	رأى	فعل
وتراهم	رءي	رأى	فعل
ترين	رءي	رأى	فعل
للرؤيا	رءي	رؤيا	اسم
الرؤيا	رءي	رؤيا	اسم
رؤياك	رءي	رؤيا	اسم
رؤياي	رءي	رؤيا	اسم
رئاء	رءي	رئاء	اسم
ورئآء	رءي	رئاء	اسم
ورءيا	رءي	رئي	اسم
رأوه	رءي	رأى	فعل
رأوهم	رءي	رأى	فعل
رأوها	رءي	رأى	فعل
رأوك	رءي	رأى	فعل
رآ	رءي	رأى	فعل
رآه	رءي	رأى	فعل
رآها	رءي	رأى	فعل
رآك	رءي	رأى	فعل
فرآه	رءي	رأى	فعل
ورآ	رءي	رأى	فعل
رأي	رءي	رأي	فعل
أرءيت	رءي	رأى	فعل
أرءيتك	رءي	رأى	فعل
أرءيتكم	رءي	رأى	فعل
أفرءيت	رءي	رأى	فعل
رأيت	رءي	رأى	فعل
رأيتهم	رءي	رأى	فعل
أفرأيتم	رءي	رأى	فعل
رأيتموه	رءي	رأى	فعل
رأينه	رءي	رأى	فعل
سنريهم	رءي	أرى	فعل
نريهم	رءي	أرى	فعل
ير	رءي	رأى	فعل
يره	رءي	رأى	فعل
يرها	رءي	رأى	فعل
يراءون	رءي	راءى	فعل
يرون	رءي	رأى	فعل
يرونه	رءي	رأى	فعل
يرونهم	رءي	رأى	فعل
يرونها	رءي	رأى	فعل
يرى	رءي	رأى	فعل
يريكم	رءي	أرى	فعل
يرك	رءي	أرى	فعل
فسيرى	رءي	أرى	فعل
وسيرى	رءي	أرى	فعل
ليريه	رءي	أرى	فعل
ليريهما	رءي	أرى	فعل
يريهم	رءي	أرى	فعل
سيريكم	رءي	أرى	فعل
ويريكم	رءي	أرى	فعل
لرأيته	رءي	رأى	فعل
لنريه	رءي	أرى	فعل
لنريك	رءي	أرى	فعل
لنرها	رءي	أرى	فعل
الرأي	رءي	رأي	اسم
أرباب	ربب	رب	اسم
أربابا	ربب	رب	اسم
برب	ربب	رب	اسم
بربي	ربب	رب	اسم
بربه	ربب	رب	اسم
بربهم	ربب	رب	اسم
بربك	ربب	رب	اسم
بربكم	ربب	رب	اسم
ربي	ربب	رب	اسم
ربهم	ربب	رب	اسم
ربها	ربب	رب	اسم
ربنا	ربب	رب	اسم
ربك	ربب	رب	اسم
ربكم	ربب	رب	اسم
ربكما	ربب	رب	اسم
الربانيون	ربب	رباني	اسم
والربانيون	ربب	رباني	اسم
لرب	ربب	رب	اسم
أربى	ربب	أربى	اسم
لربه	ربب	رب	اسم
لربهم	ربب	رب	اسم
لربها	ربب	رب	اسم
لربك	ربب	رب	اسم
لربكم	ربب	رب	اسم
تربص	ربص	تربص	فعل
وتربصتم	ربص	تربص	فعل
تربصوا	ربص	تربص	فعل
فتربصوا	ربص	تربص	فعل
تربصون	ربص	تربص	فعل
متربص	ربص	متربص	اسم
متربصون	ربص	متربص	اسم
المتربصين	ربص	متربص	اسم
نتربص	ربص	تربص	فعل
ويتربص	ربص	تربص	فعل
يتربصن	ربص	تربص	فعل
يتربصون	ربص	تربص	فعل
رباط	ربط	رباط	اسم
أربع	ربع	أربعة	اسم
أربعة	ربع	أربعة	اسم
بأربعة	ربع	أربعة	اسم
وربع	ربع	ربع	اسم
أربعين	ربع	أربعون	اسم
الربع	ربع	ربع	اسم
الربا	ربو	ربا	اسم
ربا	ربو	ربا	اسم
ترتيلا	رتل	ترتيل	اسم
ورتل	رتل	رتل	فعل
ورتلناه	رتل	رتل	فعل
الرجس	رجس	رجس	اسم
ارجع	رجع	رجع	فعل
فارجع	رجع	رجع	فعل
ارجعوا	رجع	رجع	فعل
ارجعون	رجع	رجع	فعل
فارجعوا	رجع	رجع	فعل
وارجعوا	رجع	رجع	فعل
ارجعي	رجع	رجع	فعل
أرجع	رجع	أرجع	فعل
ترجع	رجع	ترجع	فعل
ترجعوهن	رجع	أرجع	فعل
ترجعون	رجع	رجع	فعل
ترجعونها	رجع	أرجع	فعل
راجعون	رجع	راجع	اسم
الرجع	رجع	رجع	اسم
رجع	رجع	رجع	اسم
رجعه	رجع	رجع	اسم
رجعك	رجع	رجع	اسم
فرجع	رجع	رجع	فعل
رجعت	رجع	رجع	فعل
رجعتم	رجع	رجع	فعل
فرجعناك	رجع	رجع	فعل
رجعوا	رجع	رجع	فعل
فرجعوا	رجع	رجع	فعل
الرجعى	رجع	رجعى	اسم
مرجعهم	رجع	مرجع	اسم
مرجعكم	رجع	مرجع	اسم
يتراجعا	رجع	تراجع	فعل
يرجع	رجع	رجع	فعل
يرجعون	رجع	أرجع	فعل
الراجفة	رجف	راجفة	اسم
الرجفة	رجف	رجفة	اسم
للرجال	رجل	رجل	اسم
أرجلهم	رجل	رجل	اسم
أرجلكم	رجل	رجل	اسم
الرجال	رجل	رجل	اسم
بأرجلهن	رجل	رجل	اسم
لأرجمنك	رجم	رجم	فعل
لرجمناك	رجم	رجم	فعل
رجوما	رجم	رجوم	اسم
المرجومين	رجم	مرجوم	اسم
لنرجمنكم	رجم	رجم	فعل
