-e word	root	lemma
سادرسها	درس	درس
سندرسها	درس	درس
سيدرسها	درس	درس
لدرسها	درس	درس
كدرسها	درس	درس
مدرسها	درس	مدرس
المدرسون	درس	مدرس
فالمدرسون	درس	مدرس
فالمدرسات	درس	مدرس
المدرستين	درس	مدرس
فالمدرستين	درس	مدرس
المدرستين	درس	مدرس
والمدرستين	درس	مدرس
كالمدرستنان	درس	مدرس
المدرستان	درس	مدرس
مدرسات	درس	مدرس
دروس	درس	دروس
الدروس	درس	دروس
فالدروس	درس	دروس
والدروس	درس	دروس
دروسها	درس	دروس
ودروسها	درس	دروس
فدروسها	درس	دروس
لدروسها	درس	دروس
دروسه	درس	دروس
فدروسه	درس	دروس
دروسهن	درس	دروس
ودروسهن	درس	دروس
فدروسهن	درس	دروس
دروسهم	درس	دروس
فدروسهم	درس	دروس
لدروسهم	درس	دروس
دروسك	درس	دروس
فدروسك	درس	دروس
ودروسك	درس	دروس
لدروسك	درس	دروس
للدروس	درس	دروس
دارس	درس	دارس
فدارس	درس	دارس
ودارس	درس	دارس
الدارس	درس	دارس
والدارس	درس	دارس
فالدارس	درس	دارس
الدارسه	درس	دارس
الدارسة	درس	دارس
لدارس	درس	دارس
للدارس	درس	دارس
وللدارس	درس	دارس
فلدارس	درس	دارس
دارسه	درس	دارس
دارسة	درس	دارس
دارسهن	درس	دارس
دارستها	درس	دارس
دارستهم	درس	دارس
دارسين	درس	دارس
للطلب	طلب	طلب
للطلبات	طلب	طلب
للطلبة	طلب	طلب
للطلبي	طلب	طلب
للطلبيات	طلب	طلب
للطلبية	طلب	طلب
للطلبيتين	طلب	طلب
للطلبين	طلب	طلب
الطلبة	طلب	طلب
طلب	طلب	طلب
والطلبة	طلب	طلب
والطلب	طلب	طلب
فالطلب	طلب	طلب
فالطلبة	طلب	طلب
كالطلب	طلب	طلب
كطلبة	طلب	طلب
طلبي	طلب	طلب
طلبت	طلب	طلب
تطلب	طلب	طلب
اطلب	طلب	طلب
نطلب	طلب	طلب
يطلب	طلب	طلب
ستطلب	طلب	طلب
ساطلب	طلب	طلب
سيطلب	طلب	طلب
سنطلب	طلب	طلب
طلبته	طلب	طلب
تطلبه	طلب	طلب
اطلبه	طلب	طلب
نطلبه	طلب	طلب
يطلبه	طلب	طلب
ستطلبه	طلب	طلب
ساطلبه	طلب	طلب
سيطلبه	طلب	طلب
سنطلبه	طلب	طلب
طلبتها	طلب	طلب
تطلبها	طلب	طلب
اطلبها	طلب	طلب
نطلبها	طلب	طلب
يطلبها	طلب	طلب
ستطلبها	طلب	طلب
ساطلبها	طلب	طلب
سيطلبها	طلب	طلب
سنطلبها	طلب	طلب
طلبتهم	طلب	طلب
تطلبهم	طلب	طلب
اطلبهم	طلب	طلب
نطلبهم	طلب	طلب
يطلبهم	طلب	طلب
ستطلبهم	طلب	طلب
ساطلبهم	طلب	طلب
سيطلبهم	طلب	طلب
سنطلبهم	طلب	طلب
طلبناهم	طلب	طلب
تطلبوهم	طلب	طلب
اطلبوهم	طلب	طلب
نطلبوهم	طلب	طلب
يطلبوهم	طلب	طلب
ستطلبهم	طلب	طلب
ساطلبن	طلب	طلب
سيطلبن	طلب	طلب
سنطلبن	طلب	طلب
طالب	طلب	طالب
والطالب	طلب	طالب
فالطالب	طلب	طالب
للطالب	طلب	طالب
كالطالب	طلب	طالب
لطالب	طلب	طالب
الطالبين	طلب	طالب
الطالبان	طلب	طالب
الطالبتين	طلب	طالب
الطالبتان	طلب	طالب
فالطالبتان	طلب	طالب
فالطالبون	طلب	طالب
والطالبون	طلب	طالب
والطالبتين	طلب	طالب
فالطالبتين	طلب	طالب
فالطالبتان	طلب	طالب
الطالبون	طلب	طالب
فالطالبون	طلب	طالب
الطالبين	طلب	طالب
والطالبين	طلب	طالب
فالطالبات	طلب	طالب
والطالبات	طلب	طالب
والطالبين	طلب	طالب
فالطالبين	طلب	طالب
فالطالبون	طلب	طالب
الطالبات	طلب	طالب
الطلاب	طلب	طلاب
طلاب	طلب	طلاب
وطلاب	طلب	طلاب
والطلاب	طلب	طلاب
فالطلاب	طلب	طلاب
كالطلاب	طلب	طلاب
والطلابون	طلب	طلاب
والطلابين	طلب	طلاب
فالطلابين	طلب	طلاب
والطلابين	طلب	طلاب
طلابهم	طلب	طلاب
طلابهن	طلب	طلاب
مطلب	طلب	مطلب
المطلب	طلب	مطلب
والمطلب	طلب	مطلب
فالمطلب	طلب	مطلب
مطلبهم	طلب	مطلب
كالمطلب	طلب	مطلب
كمطلب	طلب	مطلب
فمطلب	طلب	مطلب
مطلبهن	طلب	مطلب
كمطلبهن	طلب	مطلب
ومطلبهن	طلب	مطلب
ومطلبهم	طلب	مطلب
فمطلبهم	طلب	مطلب
طلوب	طلب	طلوب
فطلوب	طلب	طلوب
وطلوب	طلب	طلوب
الطلوب	طلب	طلوب
كالطلوب	طلب	طلوب
كطلوب	طلب	طلوب
طليب	طلب	طليب
الطليب	طلب	طليب
والطليب	طلب	طليب
فالطليب	طلب	طليب
للطليب	طلب	طليب
طليبهم	طلب	طليب
مطلوب	طلب	مطلوب
فالمطلوب	طلب	مطلوب
مطلوبهم	طلب	مطلوب
والمطلوب	طلب	مطلوب
المطلوب	طلب	مطلوب
شمس	شمس	شمس
الشمس	شمس	شمس
فالشمس	شمس	شمس
والشمس	شمس	شمس
وللشمس	شمس	شمس
للشمس	شمس	شمس
شمسهم	شمس	شمس
شموس	شمس	شموس
شموسهم	شمس	شموس
وشمس	شمس	شمس
قمر	قمر	قمر
قمور	قمر	قمور
أقمار	قمر	اقمار
وقمر	قمر	قمر
والقمور	قمر	قمور
فالقمر	قمر	قمر
الله	الله	الله
والله	الله	الله
بالله	الله	الله
لله	لله	لله
اله	اله	اله
اسقيناكموه	اسق	اسقي
نلزمكموها	لزم	لزم
نلزمكم	لزم	لزم
لزم	لزم	لزم
الزم	لزم	لزم
تلزم	لزم	لزم
الزمهم	لزم	لزم
قتل	قتل	قتل
يقاتل	قتل	قاتل
قاتل	قتل	قاتل
قتيل	قتل	قتيل
اقتلهم	قتل	قتل
قتلهم	قتل	قتل
والقاتل	قتل	قاتل
المقتول	قتل	مقتول
مقتول	قتل	مقتول
فالمقتول	قتل	مقتول
والمقتول	قتل	مقتول
قتال	قتل	قتال
والقتال	قتل	قتال
قتالهم	قتل	قتال
قتالكم	قتل	قتال
قاتلنا	قتل	قاتل
قاتلات	قتل	قاتل
قاتلتين	قتل	قاتل
قاتلتان	قتل	قاتل
قاتلان	قتل	قاتل
قاتلين	قتل	قاتل
القتلة	قتل	قتل
طفل	طفل	طفل
الطفل	طفل	طفل
والطفل	طفل	طفل
كالطفل	طفل	طفل
فالطفل	طفل	طفل
طفلي	طفل	طفل
طفلهم	طفل	طفل
طفلنا	طفل	طفل
طفلة	طفل	طفل
الطفلة	طفل	طفل
كالطفلة	طفل	طفل
فالطفلة	طفل	طفل
طفلتي	طفل	طفل
طفلتهم	طفل	طفل
طفلتهما	طفل	طفل
طفلتنا	طفل	طفل
طفولة	طفل	طفول
الطفولة	طفل	طفول
والطفولة	طفل	طفول
فالطفولة	طفل	طفول
كالطفولة	طفل	طفول
طفولتهم	طفل	طفول
وطفولتهم	طفل	طفول
فطفولتهم	طفل	طفول
كطفولتهم	طفل	طفول
طفولتي	طفل	طفول
وطفولتي	طفل	طفول
فطفولتي	طفل	طفول
كطفولتي	طفل	طفول
طفولتنا	طفل	طفول
وطفولتنا	طفل	طفول
فطفولتنا	طفل	طفول
طفلات	طفل	طفل
طفلتين	طفل	طفل
طفلتان	طفل	طفل
طفلان	طفل	طفل
الطفلات	طفل	طفل
والطفلات	طفل	طفل
وطفلتين	طفل	طفل
والطفلتين	طفل	طفل
الطفلتين	طفل	طفل
طفيل	طفل	طفيل
الطفيل	طفل	طفيل
والطفيل	طفل	طفيل
فالطفيل	طفل	طفيل
كالطفيل	طفل	طفيل
طفيلي	طفل	طفيل
طفيلة	طفل	طفيل
الطفيلة	طفل	طفيل
والطفيلة	طفل	طفيل
فالطفيلة	طفل	طفيل
كالطفيلة	طفل	طفيل
اطفال	طفل	اطفال
الاطفال	طفل	اطفال
فالاطفال	طفل	اطفال
والاطفال	طفل	اطفال
كالاطفال	طفل	اطفال
وأطفالهم	طفل	اطفال
فأطفالهم	طفل	اطفال
أطفالهن	طفل	اطفال
أطفالي	طفل	اطفال
فأطفالي	طفل	اطفال
مستطفل	طفل	مستطفل
استطفل	طفل	استطفل

