word	root	stem	root_kb
إعتقالهن	عقل	إعتقالهن	عقل
إعاقتهن	عوق	إعاقتهن	عوق
الذرى	ذري	الذرى	ذري
والحقيقي	حقق	والحقيقي	حقق
الدليل	دل;دلل	الدليل	دل;دلل
اثار	ءثر	اثار	ءثر
ولمخيمات	خيم	ولمخيمات	خيم
الصحي	صحو	الصحي	صحو
الضأضأ	ضءضء	الضأضأ	ضءضء
السماعات	سمع	السماعات	سمع
استحقاقاتهن	حقق	استحقاقاتهن	حقق
خصوصيات	خصص	خصوصيات	خصص
استعلال	علو	استعلال	علو
لزبائنها	زبن	لزبائنها	زبن
القرضئ	قرض	القرضئ	قرض
سيرسلناها	رسل	سيرسلناها	رسل
والبحثية	بحث	والبحثية	بحث
الناخبين	نخب	الناخبين	نخب
لاتصالهم	وصل	لاتصالهم	وصل
ايجاز	وجز	ايجاز	وجز
اللجنة	لجن	اللجنة	لجن
الدالية	دلي	الدالية	دلي
والمتخصصين	خصص	والمتخصصين	خصص
الغشرب	غشرب	الغشرب	غشرب
إرجع	رجع	إرجع	رجع
بيناء	بين	بيناء	بين
النجاحات	نجح	النجاحات	نجح
احرى	حري	احرى	حري
أمورهن	ءمر	أمورهن	ءمر
حساباتهن	حسب	حساباتهن	حسب
الذرا	ذري	الذرا	ذري
الديوان	دون	الديوان	دون
المذهبية	ذهب	المذهبية	ذهب
تحفظاتها	حظظ	تحفظاتها	حظظ
العسكرية	عسكر	العسكرية	عسكر
بالملذات	لذذ	بالملذات	لذذ
استخبارتية	خبر	استخبارتية	خبر
تستبدلهن	بدل	تستبدلهن	بدل
أدفيته	دفء	أدفيته	دفء
بالشبكات	شبك	بالشبكات	شبك
المعلوماتي	علم	المعلوماتي	علم
مجتبأ	جبي	مجتبأ	جبي
بالتمويل	مول	بالتمويل	مول
إذهب	ذهب	إذهب	ذهب
متصلان	وصل	متصلان	وصل
النطاقات	نطق	النطاقات	نطق
سيتمكنون	مكن	سيتمكنون	مكن
الفضائية	فضء	الفضائية	فضء
والمتسللون	سلل	والمتسللون	سلل
اللاعبون	لعب	اللاعبون	لعب
سيتمكنوا	مكن	سيتمكنوا	مكن
متلبسات	لبس	متلبسات	لبس
إمنع	منع	إمنع	منع
التصميمات	صمم	التصميمات	صمم
أغاني	غني	أغاني	غني
ملكية	ملك	ملكية	ملك
الإتفاقيات	وفق	الإتفاقيات	وفق
المتملكة	ملك	المتملكة	ملك
عصوان	عصو	عصوان	عصو
والتصاريح	صرح	والتصاريح	صرح
التنظيمات	نظم	التنظيمات	نظم
التشكيلة	شكل	التشكيلة	شكل
المبدئية	بدء	المبدئية	بدء
سنعيقهن	عوق	سنعيقهن	عوق
والإنترنت		والإنترنت	
أولوياته	ولي	أولوياته	ولي
المحركون	حرك	المحركون	حرك
بالشركات	شرك	بالشركات	شرك
الانطباعي	طبع	الانطباعي	طبع
المركزية	ركز	المركزية	ركز
والمتحركة	حرك	والمتحركة	حرك
باغيين	بغي	باغيين	بغي
متجبرون	جبر	متجبرون	جبر
متاخيات	ءخذ	متاخيات	ءخذ
استمر	مرر	استمر	مرر
الصائغ	صوغ	الصائغ	صوغ
دموي	دمي	دموي	دمي
إكتال	كيل	إكتال	كيل
الهوائية	هوي	الهوائية	هوي
بالتراضي	رضي	بالتراضي	رضي
إنعكاس	عكس	إنعكاس	عكس
منتقأ	نقي	منتقأ	نقي
والمدنون	مدن	والمدنون	مدن
متصفحات	صفح	متصفحات	صفح
اعتزالهن	عزل	اعتزالهن	عزل
فإستراحوا	روح	فإستراحوا	روح
خصوصيتهم	خصص	خصوصيتهم	خصص
الساجد	سجد	الساجد	سجد
حفار	حفر	حفار	حفر
متألق	ءلق	متألق	ءلق
التقنيات	قني	التقنيات	قني
الاقتصادية	قصد	الاقتصادية	قصد
التفاعلي	فعل	التفاعلي	فعل
ثوابتهن	ثوب	ثوابتهن	ثوب
والساجدة	سجد	والساجدة	سجد
والتحليل	حلل	والتحليل	حلل
بالتعاون	عون	بالتعاون	عون
بالمؤسسات	ءسس	بالمؤسسات	ءسس
بالتجزئة	جزء	بالتجزئة	جزء
المهتمين	همم	المهتمين	همم
إنكسار	كسر	إنكسار	كسر
إرتباطهم	ربط	إرتباطهم	ربط
والعالمي	علم	والعالمي	علم
والشفافية	شفف	والشفافية	شفف
متخصصين	خصص	متخصصين	خصص
بالتأشير	شير	بالتأشير	شير
بالمتصفح	صفح	بالمتصفح	صفح
الطبيعية	طبع	الطبيعية	طبع
التنحنح	نحح	التنحنح	نحح
والدروس	درس	والدروس	درس
المتمثلة	مثل	المتمثلة	مثل
مأثورة	ءثر	مأثورة	ءثر
وبيتكلموا	كلم	وبيتكلموا	كلم
واظهرتهم	ظهر	واظهرتهم	ظهر
متملكة	ملك	متملكة	ملك
ألعابهن	لعب	ألعابهن	لعب
والصائغون	صوغ	والصائغون	صوغ
ممحاه	محي	ممحاه	محي
فاشار	شور	فاشار	شور
والزيارتين	زور	والزيارتين	زور
بالتجديد	جدد	بالتجديد	جدد
النزاعات	نزع	النزاعات	نزع
والراحلين	رحل	والراحلين	رحل
الذمى	ذم	الذمى	ذم
المرجعية	رجع	المرجعية	رجع
العارفه	عرف	العارفه	عرف
اتساقه	وسق	اتساقه	وسق
المفتشون	فتش	المفتشون	فتش
وقياديون	قود	وقياديون	قود
إستمكنوا	مكن	إستمكنوا	مكن
إرتباط	ربط	إرتباط	ربط
فقدانهن	فقد	فقدانهن	فقد
الناقلة	نقل	الناقلة	نقل
النحرير	نحر	النحرير	نحر
ايسمع	سمع	ايسمع	سمع
المتقدمة	قدم	المتقدمة	قدم
الروابط	ربط	الروابط	ربط
المتبقية	بقي	المتبقية	بقي
التسعينيات	تسع	التسعينيات	تسع
الدعايات	دعي	الدعايات	دعي
التراثية	ترث	التراثية	ترث
الدوامة	دوم	الدوامة	دوم
الاضافية	ضيف	الاضافية	ضيف
النخوة	نخو	النخوة	نخو
والسنوات	سنة	والسنوات	سنة
والمنفرة	نفر	والمنفرة	نفر
الذمة	ذمم	الذمة	ذمم
سراية	سري	سراية	سري
المؤلفين	ءلف	المؤلفين	ءلف
الدنيا	دنو	الدنيا	دنو
الدنية	دنء	الدنية	دنء
إرهابية	رهب	إرهابية	رهب
تسانيم	نسم	تسانيم	نسم
متأخرون	ءخر	متأخرون	ءخر
معتقداتهن	عقد	معتقداتهن	عقد
بالاتزان	وزن	بالاتزان	وزن
إستماعهن	سمع	إستماعهن	سمع
والمجهز	جهز	والمجهز	جهز
إستماعهم	سمع	إستماعهم	سمع
الإعتقال	عقل	الإعتقال	عقل
فيتعدى	عدد	فيتعدى	عدد
والناشرين	نشر	والناشرين	نشر
متركون	ترك	متركون	ترك
سيحركوهم	حرك	سيحركوهم	حرك
الدائمون	دوم	الدائمون	دوم
المنسقون	نسق	المنسقون	نسق
الماضيين	مضي	الماضيين	مضي
إنقسامه	قسم	إنقسامه	قسم
بالتفصيل	فصل	بالتفصيل	فصل
اليمنيون	يمن	اليمنيون	يمن
والناخبين	نخب	والناخبين	نخب
إسجدوا	سجد	إسجدوا	سجد
التفاوض	فوض	التفاوض	فوض
الأقليات	قلل	الأقليات	قلل
الشراكات	شرك	الشراكات	شرك
والهندسية	هندس	والهندسية	هندس
أعمالهن	عمل	أعمالهن	عمل
معادية	عدو	معادية	عدو
سيرجعوهم	رجع	سيرجعوهم	رجع
التعامل	عمل	التعامل	عمل
حسائهن	حسء	حسائهن	حسء
والنقابات	نقب	والنقابات	نقب
والتوزيع	وزع	والتوزيع	وزع
الذاهب	ذهب	الذاهب	ذهب
والصناعات	صنع	والصناعات	صنع
الأكفياء	كفو	الأكفياء	كفو
السيارات	سير	السيارات	سير
الدولة	دول	الدولة	دول
العمال	عمل	العمال	عمل
الصحابيين	صحب	الصحابيين	صحب
الجنائية	جني	الجنائية	جني
إستبدال	بدل	إستبدال	بدل
احتمالية	حمل	احتمالية	حمل
اللغات	لغي	اللغات	لغي
إعادتهن	عود	إعادتهن	عود
الديمومة	دم	الديمومة	دم
سيربحان	ربح	سيربحان	ربح
إقتصاديات	قصد	إقتصاديات	قصد
بالتطوير	طور	بالتطوير	طور
الغواصات	غوص	الغواصات	غوص
اجراء	جري	اجراء	جري
العذاء	عذو	العذاء	عذو
بالنتائج	نتج	بالنتائج	نتج
السكات	سكت	السكات	سكت
متكررون	كرر	متكررون	كرر
والاجتماعية	جمع	والاجتماعية	جمع
الغث	غثث	الغث	غثث
السناء	سنو	السناء	سنو
غالبيتهم	غلب	غالبيتهم	غلب
والاجهزة	جهز	والاجهزة	جهز
السابقين	سبق	السابقين	سبق
والذاهبات	ذهب	والذاهبات	ذهب
المنضدية	نضد	المنضدية	نضد
والتروجان		والتروجان	
والسهولة	سهل	والسهولة	سهل
أقرائك	قرء	أقرائك	قرء
والسياسية	سوس	والسياسية	سوس
يتأخر	ءخر	يتأخر	ءخر
والذاهبان	ذهب	والذاهبان	ذهب
إسئلوا	سءل	إسئلوا	سءل
التوفيرية	وفر	التوفيرية	وفر
الماليه	مول	الماليه	مول
التجربة	جرب	التجربة	جرب
السكان	سكن	السكان	سكن
وبالتعاون	عون	وبالتعاون	عون
تبعثرهن	بعثر	تبعثرهن	بعثر
الإحتقانات	حقن	الإحتقانات	حقن
خضاخض	خضخض	خضاخض	خضخض
الدنيئة	دنئ	الدنيئة	دنئ
اغماء	غمي	اغماء	غمي
متيقظ	يقظ	متيقظ	يقظ
المعلمومات	علم	المعلمومات	علم
إستمعن	سمع	إستمعن	سمع
إستراحاتهن	سرح	إستراحاتهن	سرح
أسائن	ءسن	أسائن	ءسن
بالضرورة	ضرر	بالضرورة	ضرر
لايمكنها	مكن	لايمكنها	مكن
الإنكسارات	كسر	الإنكسارات	كسر
الوان	لون	الوان	لون
الكلامية	كلم	الكلامية	كلم
المسجلون	سجل	المسجلون	سجل
والمخربين	خرب	والمخربين	خرب
إستراحات	سرح	إستراحات	سرح
والشريحة	شرح	والشريحة	شرح
والتاريخية	ترخ	والتاريخية	ترخ
بالتنقيب	نقب	بالتنقيب	نقب
اسيل	ءسل	اسيل	ءسل
للنسختين	نسخ	للنسختين	نسخ
اسراء	سري	اسراء	سري
النهاية	نهي	النهاية	نهي
انتقامية	نقم	انتقامية	نقم
متحركة	حرك	متحركة	حرك
التوفير	وفر	التوفير	وفر
إمنعوا	منع	إمنعوا	منع
والداعمة	دعم	والداعمة	دعم
للناشرين	نشر	للناشرين	نشر
مؤلفاتهم	ءلف	مؤلفاتهم	ءلف
والسخرية	سخر	والسخرية	سخر
محطم	حطم	محطم	حطم
إستبدالوا	بدل	إستبدالوا	بدل
والراجع	رجع	والراجع	رجع
الدودة	دود	الدودة	دود
المتضمنة	ضمن	المتضمنة	ضمن
ارقاء	رق	ارقاء	رق
دلالهن	دلل	دلالهن	دلل
المحلل	حلل	المحلل	حلل
والذاهبون	ذهب	والذاهبون	ذهب
الشمالية	شمل	الشمالية	شمل
الأساسية	ءسس	الأساسية	ءسس
الخيالية	خيل	الخيالية	خيل
دراستكن	درس	دراستكن	درس
مدلل	دلل	مدلل	دلل
بالتأكيد	ءكد	بالتأكيد	ءكد
متوكلون	وكل	متوكلون	وكل
مدققين	دقق	مدققين	دقق
المصورين	صور	المصورين	صور
والتحسينات	حسن	والتحسينات	حسن
اضاعوا	ضيع	اضاعوا	ضيع
والمسائلات	سءل	والمسائلات	سءل
ويتمنون	مني	ويتمنون	مني
والثقافة	ثقف	والثقافة	ثقف
الدعائية	دعي	الدعائية	دعي
القاموسي	قمس	القاموسي	قمس
المنظمين	نظم	المنظمين	نظم
يتوقد	وقد	يتوقد	وقد
سطحية	سطح	سطحية	سطح
متجبر	جبر	متجبر	جبر
السمو	سمو	السمو	سمو
قضية	قضي	قضية	قضي
والمجرب	جرب	والمجرب	جرب
الثروات	ثري	الثروات	ثري
الهاتفية	هتف	الهاتفية	هتف
اغناك	غني	اغناك	غني
والتجربة	جرب	والتجربة	جرب
إستبدلوهن	بدل	إستبدلوهن	بدل
اصدقائهم	صدق	اصدقائهم	صدق
الزيارتين	زور	الزيارتين	زور
للراغبين	رغب	للراغبين	رغب
متألقون	ءلق	متألقون	ءلق
والمحركان	حرك	والمحركان	حرك
إنقسامكم	قسم	إنقسامكم	قسم
متدين	دين	متدين	دين
إنشغال	شغل	إنشغال	شغل
عشاق	عشق	عشاق	عشق
والجاذبية	جذب	والجاذبية	جذب
سيتحسن	حسن	سيتحسن	حسن
تبلورهن	بلور	تبلورهن	بلور
العالمية	علم	العالمية	علم
امدوحة	مدح	امدوحة	مدح
مؤسساتهم	ءسس	مؤسساتهم	ءسس
الإرهابية	رهب	الإرهابية	رهب
بنائون	بني	بنائون	بني
الدامية	دمي	الدامية	دمي
للمؤلفين	ءلف	للمؤلفين	ءلف
مضخات	ضخخ	مضخات	ضخخ
مدللات	دلل	مدللات	دلل
توحدت	وحد	توحدت	وحد
سأنقلهن	نقل	سأنقلهن	نقل
لوظائفهن	وظف	لوظائفهن	وظف
وحساباتهن	حسب	وحساباتهن	حسب
مشيعة	مشع	مشيعة	مشع
الإنساني	ءنس	الإنساني	ءنس
محرك	حرك	محرك	حرك
يربح	ربح	يربح	ربح
عدوانهن	عدو	عدوانهن	عدو
ابناء	بني	ابناء	بني
الإلزامي	لزم	الإلزامي	لزم
والدوريات	دور	والدوريات	دور
معاني	عني	معاني	عني
والتطبيقات	طبق	والتطبيقات	طبق
الرباط	ربط	الرباط	ربط
والصائغات	صوغ	والصائغات	صوغ
الدحرجة	دحرج	الدحرجة	دحرج
التخريبي	جرب	التخريبي	جرب
المتكررة	كرر	المتكررة	كرر
إنكسارات	كسر	إنكسارات	كسر
محركوها	حرك	محركوها	حرك
المخربين	خرب	المخربين	خرب
التعبير	عبر	التعبير	عبر
فتقيد	فيد	فتقيد	فيد
والتعاون	عون	والتعاون	عون
محركون	حرك	محركون	حرك
مياس	ميس	مياس	ميس
إنكساران	كسر	إنكساران	كسر
فيتاخر	ءخر	فيتاخر	ءخر
والزامها	لزم	والزامها	لزم
تبدلات	بدل	تبدلات	بدل
الإعلاني	علن	الإعلاني	علن
والتصاميم	صمم	والتصاميم	صمم
الراجعة	رجع	الراجعة	رجع
حسنوات	حسن	حسنوات	حسن
اغنياء	غني	اغنياء	غني
بمصداقية	صدق	بمصداقية	صدق
الوساويس	وسوس	الوساويس	وسوس
الشوارع	شرع	الشوارع	شرع
إستغلال	غلل	إستغلال	غلل
منوع	منع	منوع	منع
التناوش	نوش	التناوش	نوش
الدواس	دوس	الدواس	دوس
الدوار	دور	الدوار	دور
الإسلاميون	سلم	الإسلاميون	سلم
والشاشات	شوش	والشاشات	شوش
واقتصادية	قصد	واقتصادية	قصد
المتملك	ملك	المتملك	ملك
الدواء	دوي	الدواء	دوي
محركاتها	حرك	محركاتها	حرك
المتعطلة	عطل	المتعطلة	عطل
واللهجات	لهج	واللهجات	لهج
مائح	ميح	مائح	ميح
التسويقية	سوق	التسويقية	سوق
والطيران	طير	والطيران	طير
والمسيحية	مسح	والمسيحية	مسح
إعتبروا	عبر	إعتبروا	عبر
ليالهن	ليل	ليالهن	ليل
بالتحايل	حول	بالتحايل	حول
إتحادات	تحد	إتحادات	تحد
غلوث	غتت	غلوث	غتت
اسوادان	سود	اسوادان	سود
متآخي	آخي	متآخي	آخي
متعسف	عسف	متعسف	عسف
مائن	مين	مائن	مين
العاطفية	عطف	العاطفية	عطف
والتركيز	ركز	والتركيز	ركز
فالتقنية	تقن	فالتقنية	تقن
رئاسة	رءس	رئاسة	رءس
بخطة	خطط	بخطة	خطط
التحليلات	حلل	التحليلات	حلل
والرسالة	رسل	والرسالة	رسل
اصدقائ	صدق	اصدقائ	صدق
الداعمين	دعم	الداعمين	دعم
إستمرارية	مرر	إستمرارية	مرر
المأخوذة	ءخذ	المأخوذة	ءخذ
الشريفين	شرف	الشريفين	شرف
إستكشافات	كشف	إستكشافات	كشف
المتحدة	تحد	المتحدة	تحد
الدورة	دور	الدورة	دور
متطرفون	طرف	متطرفون	طرف
المسؤولية	سءل	المسؤولية	سءل
والاتصالات	وصل	والاتصالات	وصل
سيتحركن	حرك	سيتحركن	حرك
والمؤسسات	ءسس	والمؤسسات	ءسس
النميم	نمم	النميم	نمم
الموحد	وحد	الموحد	وحد
التنافسي	نفس	التنافسي	نفس
للمفوضية	عمد	للمفوضية	عمد
سيظل	ظل	سيظل	ظل
مارية	مري	مارية	مري
لتواصلية	وصل	لتواصلية	وصل
والصحابيون	صحب	والصحابيون	صحب
والصفحات	صفح	والصفحات	صفح
للصمامات	صمم	للصمامات	صمم
ليالي	ليل	ليالي	ليل
والغواصات	غوص	والغواصات	غوص
الانعزالية	عزل	الانعزالية	عزل
يحرمونهن	حرم	يحرمونهن	حرم
ابائي	ءبو	ابائي	ءبو
موظفات	وظف	موظفات	وظف
والدليلة	دل	والدليلة	دل
تاذ	ءذي	تاذ	ءذي
واستخدامهن	خدم	واستخدامهن	خدم
بمتطلباتها	طلب	بمتطلباتها	طلب
وملفات	لفف	وملفات	لفف
بالاوراق	ورق	بالاوراق	ورق
مبتلون	بلل	مبتلون	بلل
والاستمرارية	مرر	والاستمرارية	مرر
ومتصفحيها	صفح	ومتصفحيها	صفح
الراحلين	رحل	الراحلين	رحل
اعضاء	عضد	اعضاء	عضد
الصالحين	صلح	الصالحين	صلح
يتبدلن	بدل	يتبدلن	بدل
تتأخران	ءخر	تتأخران	ءخر
الاستخباراتية	خبر	الاستخباراتية	خبر
والأهلية	ءهل	والأهلية	ءهل
تمركزهن	ركز	تمركزهن	ركز
الإعلامي	علم	الإعلامي	علم
سيحرمونهن	حرم	سيحرمونهن	حرم
التدابير	دبر	التدابير	دبر
ستعلمهن	علم	ستعلمهن	علم
الإجرامي	جرم	الإجرامي	جرم
خلعهن	خلع	خلعهن	خلع
السماعتين	سمع	السماعتين	سمع
النهائية	نهي	النهائية	نهي
الإنعكاس	عكس	الإنعكاس	عكس
متصفح	صفح	متصفح	صفح
المسئولة	سءل	المسئولة	سءل
فالتأخير	ءخر	فالتأخير	ءخر
والتعامل	عمل	والتعامل	عمل
ومحرك	حرك	ومحرك	حرك
والدليلان	دل	والدليلان	دل
المحتجات	حجج	المحتجات	حجج
حركهن	حرك	حركهن	حرك
والإرهابيون	رهب	والإرهابيون	رهب
والدليل	دل	والدليل	دل
تتبدل	بدل	تتبدل	بدل
والزيارتان	زور	والزيارتان	زور
والعسكرية	عسكر	والعسكرية	عسكر
التخصصات	خصص	التخصصات	خصص
موحد	وحد	موحد	وحد
سباحتهن	سبح	سباحتهن	سبح
الرسالة	رسل	الرسالة	رسل
مكفهر	فهر	مكفهر	فهر
ستتركا	ترك	ستتركا	ترك
المتردية	ردي	المتردية	ردي
الضريبية	ضرب	الضريبية	ضرب
للمرشحين	رشح	للمرشحين	رشح
إصرارهن	صرر	إصرارهن	صرر
المؤلفات	ءلف	المؤلفات	ءلف
تأخر	ءخر	تأخر	ءخر
أفياء	فيء	أفياء	فيء
والاتفاقيتين	وفق	والاتفاقيتين	وفق
المهاه	مهه	المهاه	مهه
الصالحات	صلح	الصالحات	صلح
إستماعكن	سمع	إستماعكن	سمع
عربتيهما	عرب	عربتيهما	عرب
إلتحامهم	لحم	إلتحامهم	لحم
محوسب	حسب	محوسب	حسب
إلتحامهن	لحم	إلتحامهن	لحم
إنقساماتهم	قسم	إنقساماتهم	قسم
ابرياء	برء	ابرياء	برء
الادنى	دنو	الادنى	دنو
موظفون	وظف	موظفون	وظف
الأقب	قبب	الأقب	قبب
التصنيف	صنف	التصنيف	صنف
باللونين	لون	باللونين	لون
الدليلان	دل	الدليلان	دل
منعهن	منع	منعهن	منع
والتكاثر	كثر	والتكاثر	كثر
الجانبية	جنب	الجانبية	جنب
المضحاة	ضحو	المضحاة	ضحو
والرسمية	رسم	والرسمية	رسم
والعلمية	علم	والعلمية	علم
إستثنائية	ثني	إستثنائية	ثني
قسمتهن	قسم	قسمتهن	قسم
بالتجارة	تجر	بالتجارة	تجر
والإنعكاس	عكس	والإنعكاس	عكس
القياسية	قيس	القياسية	قيس
ويصممان	صمم	ويصممان	صمم
المستقبلية	قبل	المستقبلية	قبل
النمام	نمم	النمام	نمم
بأغنياته	غني	بأغنياته	غني
الصحفيات	صحف	الصحفيات	صحف
إنكسارين	كسر	إنكسارين	كسر
متجدد	جدد	متجدد	جدد
الغسلبة	غسلب	الغسلبة	غسلب
والتجيهزات	جهز	والتجيهزات	جهز
المعتاشة	عيش	المعتاشة	عيش
اصلاء	ءصل	اصلاء	ءصل
الخليوية	خلو	الخليوية	خلو
الاتفاقيتين	وفق	الاتفاقيتين	وفق
مستتضاف	ضيف	مستتضاف	ضيف
بالتسوية	سوي	بالتسوية	سوي
إعترافات	عرف	إعترافات	عرف
الدانية	دنو	الدانية	دنو
إستقلالهم	قلل	إستقلالهم	قلل
إستقلالهن	قلل	إستقلالهن	قلل
والتعقيدات	عقد	والتعقيدات	عقد
بالشفاء	شفي	بالشفاء	شفي
والسماعتان	سمع	والسماعتان	سمع
مجانا	مجن	مجانا	مجن
المختصون	خصص	المختصون	خصص
غماليج	غملج	غماليج	غملج
إستراحوا	سرح	إستراحوا	سرح
والراجعين	رجع	والراجعين	رجع
والحرفية	حرف	والحرفية	حرف
إنعكس	عكس	إنعكس	عكس
الإسلامي	سلم	الإسلامي	سلم
والتقويم	قوم	والتقويم	قوم
متلبس	لبس	متلبس	لبس
والتجريبية	جرب	والتجريبية	جرب
بالسعادة	سعد	بالسعادة	سعد
قفو	وقف	قفو	وقف
الصحابي	صحب	الصحابي	صحب
مواقععهم	وقع	مواقععهم	وقع
إصتحبت	صحب	إصتحبت	صحب
والشبهات	شبه	والشبهات	شبه
للمطورين	طور	للمطورين	طور
أحتضان	حضن	أحتضان	حضن
الفعليين	فعل	الفعليين	فعل
بالصناعة	صنع	بالصناعة	صنع
إصتحبي	صحب	إصتحبي	صحب
جمعتن	جمع	جمعتن	جمع
الإعترافات	عرف	الإعترافات	عرف
الاحتفالية	حفل	الاحتفالية	حفل
المدرس	درس	المدرس	درس
والمعقدة	عقد	والمعقدة	عقد
المفوضية	فوض	المفوضية	فوض
فاعاد	عود	فاعاد	عود
اقتصادية	قصد	اقتصادية	قصد
والدارسين	درس	والدارسين	درس
التبدلات	بدل	التبدلات	بدل
الصحفية	صحف	الصحفية	صحف
الزجاجية	زجج	الزجاجية	زجج
الموظفين	وظف	الموظفين	وظف
حجوزات	حجز	حجوزات	حجز
الأسبقية	سبق	الأسبقية	سبق
مجاميع	جمع	مجاميع	جمع
للسلطات	سلط	للسلطات	سلط
الزيارة	زور	الزيارة	زور
الرسائل	رسل	الرسائل	رسل
رئاسات	رءس	رئاسات	رءس
وبالتالي	تلو	وبالتالي	تلو
ستعلما	علم	ستعلما	علم
أصواتهن	صوت	أصواتهن	صوت
رياء	رءي	رياء	رءي
والثقافية	ثقف	والثقافية	ثقف
والصحفيين	صحف	والصحفيين	صحف
والطائرات	طير	والطائرات	طير
القيادي	قيد	القيادي	قيد
النيابة	نوب	النيابة	نوب
الدليلين	دل	الدليلين	دل
التأهب	ءهب	التأهب	ءهب
بالإيجابية	جوب	بالإيجابية	جوب
تتأخر	ءخر	تتأخر	ءخر
الأخلاقي	خلق	الأخلاقي	خلق
مختبأ	خبي	مختبأ	خبي
والتنظيم	نظم	والتنظيم	نظم
الناشرين	نشر	الناشرين	نشر
الجوهرية	جهر	الجوهرية	جهر
ريان	روي	ريان	روي
الشادي	شدو	الشادي	شدو
محركين	حرك	محركين	حرك
متطوعات	طوع	متطوعات	طوع
استهلت	سهل	استهلت	سهل
الحقيقية	حقق	الحقيقية	حقق
والتضييق	ضيق	والتضييق	ضيق
متعددة	عدد	متعددة	عدد
المميزات	ميز	المميزات	ميز
والمحللين	حلل	والمحللين	حلل
الإحتقان	حقن	الإحتقان	حقن
السرية	سرر	السرية	سرر
إنقسما	قسم	إنقسما	قسم
أتروكهم	ترك	أتروكهم	ترك
العنصرية	عنصر	العنصرية	عنصر
أدوارهن	دور	أدوارهن	دور
اساسي	ءسس	اساسي	ءسس
الشاشات	شوش	الشاشات	شوش
والناقلات	نقل	والناقلات	نقل
المؤرخ	ءرخ	المؤرخ	ءرخ
الشراكة	شرك	الشراكة	شرك
الأصليون	صلي	الأصليون	صلي
والتشريعات	شرع	والتشريعات	شرع
مذيب	ذوب	مذيب	ذوب
الحكومية	حكم	الحكومية	حكم
والناقلان	نقل	والناقلان	نقل
مدور	دور	مدور	دور
روابي	ربي	روابي	ربي
ابان	بين	ابان	بين
إستراحة	سرح	إستراحة	سرح
اباك	ءبو	اباك	ءبو
الاربعاء	ربع	الاربعاء	ربع
باطلاق	طلق	باطلاق	طلق
مشترياتهن	شري	مشترياتهن	شري
إنقسمن	قسم	إنقسمن	قسم
الإنقسامات	قسم	الإنقسامات	قسم
النقالة	نقل	النقالة	نقل
الصائغة	صوغ	الصائغة	صوغ
بمتصفحها	صفح	بمتصفحها	صفح
البرمجية	رمج	البرمجية	رمج
والطرقات	طرق	والطرقات	طرق
بالتقسيط	قسط	بالتقسيط	قسط
القساء	قسو	القساء	قسو
إستماعك	سمع	إستماعك	سمع
والسلسلة	سلل	والسلسلة	سلل
إستماعه	سمع	إستماعه	سمع
إنعقد	عقد	إنعقد	عقد
إذهبن	ذهب	إذهبن	ذهب
إستعلوا	سعل	إستعلوا	سعل
الذرأة	ذرء	الذرأة	ذرء
بالمعادي	عدي	بالمعادي	عدي
صحابيين	صحب	صحابيين	صحب
إستئنافهن	ءنف	إستئنافهن	ءنف
مهمات	همم	مهمات	همم
المؤسسين	ءسس	المؤسسين	ءسس
الإرهابيون	رهب	الإرهابيون	رهب
مهارتهن	مهر	مهارتهن	مهر
مبتأس	بءس	مبتأس	بءس
حساسية	حسس	حساسية	حسس
التجريبي	جرب	التجريبي	جرب
إسمع	سمع	إسمع	سمع
إستثنى	ثني	إستثنى	ثني
والتواصل	وصل	والتواصل	وصل
والمنظمات	نظم	والمنظمات	نظم
إحملن	حمل	إحملن	حمل
اعاملك	عمل	اعاملك	عمل
فيتحقق	حقق	فيتحقق	حقق
المتحرك	حرك	المتحرك	حرك
وعاظ	وعظ	وعاظ	وعظ
والاتصالي	وصل	والاتصالي	وصل
والرياضة	ريض	والرياضة	ريض
النهاء	نهي	النهاء	نهي
بالتحويلات	حول	بالتحويلات	حول
والدليلين	دل	والدليلين	دل
والحفارة	حفر	والحفارة	حفر
الزميلين	زمل	الزميلين	زمل
وموضوعية	وضع	وموضوعية	وضع
إرتباطكن	ربط	إرتباطكن	ربط
إرتباطكم	ربط	إرتباطكم	ربط
التمرين	مرن	التمرين	مرن
والاشياء	شيئ	والاشياء	شيئ
المحوسبة	حسب	المحوسبة	حسب
التمارين	مرن	التمارين	مرن
التصنيفات	صنف	التصنيفات	صنف
محللين	حلل	محللين	حلل
التصميم	صمم	التصميم	صمم
والمتوسطة	وسط	والمتوسطة	وسط
التوفيرات	وفر	التوفيرات	وفر
القانوني	قنن	القانوني	قنن
مدللون	دلل	مدللون	دلل
متأخرة	ءخر	متأخرة	ءخر
مفتاحية	فتح	مفتاحية	فتح
الإشتراكية	شرك	الإشتراكية	شرك
والتقاليد	قلد	والتقاليد	قلد
التعليمي	علم	التعليمي	علم
الموسوعي	وسع	الموسوعي	وسع
مسداء	مسد	مسداء	مسد
والسماعات	سمع	والسماعات	سمع
يتحسنوا	حسن	يتحسنوا	حسن
اللغوية	لغو	اللغوية	لغو
متأخرات	ءخر	متأخرات	ءخر
متأخرين	ءخر	متأخرين	ءخر
ادعاءاته	دعي	ادعاءاته	دعي
الرافدين	رفد	الرافدين	رفد
بإمكانية	مكن	بإمكانية	مكن
الاجتماعية	جمع	الاجتماعية	جمع
