pattern	singularPattern	type	nType	vType	isBrokenPlural	hasBrokenPlural	hasFem	subOf	examples	comment
pattern:fiEolAn	singularPattern:faEuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: خروف: خرفان	comment:unspec
pattern:faEiyl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEilap	singularPattern:faEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: رغيف: أرغفة	comment:unspec
pattern:faEA}il	singularPattern:faEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:فصيل‫:‬ فصائل	comment:unspec
pattern:fuEul	singularPattern:faEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: سرير: سرر، نذير: نذر	comment:unspec
pattern:fuEolAn	singularPattern:faEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: قضيب: قضبان، كثيب: كثبان، رغيف: رغفان، قميص: قمصان	comment:unspec
pattern:>afoEilA'	singularPattern:faEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: نصيب: أنصباء، صديق: أصدقاء	comment:unspec
pattern:>afoEul	singularPattern:faEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: يمين: أيمن	comment:unspec
pattern:faEiyl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:faEiylap	subOf:unspec	examples:unspec	comment:unspec
pattern:fiEAl	singularPattern:faEiyl	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: كريم – كريمة: كرام، سقيم – سقيمة: سقام، ظريف – ظريفة: ظراف، طويل – طويلة: طوال، عظيم – عظيمة: عظام	comment:unspec
pattern:fuEalA'	singularPattern:faEiyl	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: كريم: كرماء، نبيل: نبلاء، عظيم: عظماء، ظريف: ظرفاء، بخيل: بخلاء، جليس: جلساء، نديم: ندماء، خليط: خلطاء، شريك: شركاء	comment:unspec
pattern:>afil~A'	singularPattern:faEiyl	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:>afoEilA'	examples: شديد: أشداء، ذليل: أذلاء، عزيز: أعزاء، خليل: أخلاء	comment:unspec
pattern:>afil~ap	singularPattern:faEiyl	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:>afoEilap	examples: عزيز: أعزة، ذليل: أذلة، دليل: أدلة	comment:unspec
pattern:faEolaY	singularPattern:faEiyl	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: مريض: مرضى، أسير: أسرى، قتيل: قتلى، غريق: غرقى، جريح: جرحى	comment:unspec
pattern:faEAlaY	singularPattern:faEiyl	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: يتيم: يتامى	comment:unspec
pattern:fiEAl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afil~ap	singularPattern:fiEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:>afoEilap	examples: زمام: أزمّة، هلال: أهلة	comment:unspec
pattern:>afoEilap	singularPattern:fiEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: رداء: أردية، قباء: أقبية، وعاء: أوعية	comment:unspec
pattern:|Eiyap	singularPattern:fiEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:>afoEilap	examples: إناء: آنية	comment:unspec
pattern:>afoEul	singularPattern:fiEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: ذراع: أذرع	comment:unspec
pattern:fuEolAn	singularPattern:fiEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: جدار: جدران	comment:unspec
pattern:faEA}il	singularPattern:fiEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: شمال: شمائل	comment:unspec
pattern:fuEul	singularPattern:fiEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: كتاب: كتب، حمار: حمر	comment:unspec
pattern:faEiyl	singularPattern:fiEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: حمار: حمير	comment:unspec
pattern:faEAl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEilap	singularPattern:faEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: دواء: أدوية، وباء: أوبئة، طعام: أطعمة	comment:unspec
pattern:fiEolAn	singularPattern:faEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: غزال: غزلان	comment:unspec
pattern:fuEalA'	singularPattern:faEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: جبان: جبناء	comment:unspec
pattern:fal~	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:faEol	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:fal~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: جد: أجداد، عم: أعمام	comment:unspec
pattern:fuEuwl	singularPattern:fal~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: همّ: هموم، حد: حدود، رد: ردود، سد: سدود	comment:unspec
pattern:faEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fiEAl	singularPattern:faEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: جمل: جمال، جبل: جبال	comment:unspec
pattern:>afoEAl	singularPattern:faEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: بقر: أبقار، غنم: أغنام، علم: أعلام، صنم: أصنام، قلم: أقلام، بصر: أبصار، ولد: أولاد، هرم: أهرام	comment:unspec
pattern:fiEolap	singularPattern:faEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: فتى: فتية	comment:unspec
pattern:fiEAlap	singularPattern:faEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: حجر: حجارة	comment:unspec
pattern:fuEuwl	singularPattern:faEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: أسد: أسود، ذكر: ذكور	comment:unspec
pattern:fuEolAn	singularPattern:faEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: حمل: حملان، ذكر: ذكران، بلد: بلدان	comment:unspec
pattern:fiEolAn	singularPattern:faEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: وَلَد: وِلدان	comment:unspec
pattern:faEil	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:faEil	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: كَبِد: أكباد، نمر: أنمار، عقب: أعقاب	comment:unspec
pattern:faEul	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:faEul	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عَضُد: أعضاد، عجز: أعجاز	comment:unspec
pattern:fuEul	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:fuEul	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عُنُق: أعناق، حُلُم: أحلام	comment:unspec
pattern:|fAl	singularPattern:fuEul	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:أذن‫:‬ آذان	comment:unspec
pattern:fuEol	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:fuEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: قُفْل: أقفال، حضن: أحضان، عرف: أعراف، عمر: أعمار، كوخ: أكواخ، جوخ: أجواخ، روح: أرواح، عُمق: أعماق	comment:unspec
pattern:fiEAl	singularPattern:fuEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: رمح: رماح، جرح: جراح	comment:unspec
pattern:fiEolAn	singularPattern:fuEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: حوت: حيتان، عور: عوران، عود: عيدان، كوز: كيزان	comment:unspec
pattern:fiylAn	singularPattern:fuEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:fiEolAn	examples: حوت: حيتان، عود: عيدان، تاج: تيجان	comment:unspec
pattern:fuEuwl	singularPattern:fuEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: جرح: جروح، جُند: جنود	comment:unspec
pattern:fuwl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:fuEol	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:fuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: كوخ: أكواخ، جوخ: أجواخ، روح: أرواح	comment:unspec
pattern:fiylAn	singularPattern:fuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:fiEolAn	examples: حوت: حيتان، عود: عيدان، تاج: تيجان	comment:unspec
pattern:fiEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:fiEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عِنَب: أعناب، حِقب: أحقاب	comment:unspec
pattern:fiEil	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:|EAl	singularPattern:fiEil	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:>afoEAl	examples: إبِل: آبال، إبط: آباط	comment:unspec
pattern:fiEol	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:fiEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: حِمْل: أحمال، اسم: أسماء، ردف: أرداف، حزب: أحزاب، ملح: أملاح، حلف: أحلاف، عرق: أعراق، غمد: أغماد، قفل: أقفال	comment:unspec
pattern:fiEalap	singularPattern:fiEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: قرد: قردة	comment:unspec
pattern:fiEAl	singularPattern:fiEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: ذئب: ذئاب، قِدْح: قداح، ظل: ظلال ريح: رياح	comment:unspec
pattern:fuEuwl	singularPattern:fiEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: قدر: قدور، عطر: عطور، علم: علوم، عجل: عجول، ضرس: ضروس	comment:unspec
pattern:>afoEilap	singularPattern:fiEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: غمد: أغمدة 	comment:unspec
pattern:>afoEul	singularPattern:fiEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:رجل‫:‬ أرجل 	comment:unspec
pattern:fuEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:fuEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: رُطَب: أرطاب	comment:unspec
pattern:faEiy~	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:faEiy~ap	subOf:faEiyl	examples:unspec	comment:unspec
pattern:fiEolap	singularPattern:faEiy~	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صبي: صبية	comment:unspec
pattern:faEAlA	singularPattern:faEiy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صبية: صبايا	comment:unspec
pattern:>afoEilA'	singularPattern:faEiy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: وفيّ: أوفياء، قويّ: أقوياء، وصيّ: أوصياء، وليّ: أولياء، نبيّ: أنبياء، غبي: أغبياء	comment:unspec
pattern:>afoEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fuEol	singularPattern:>afoEal	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: أحمر – حمراء: حمر، أخضر – خضراء: خضر، أعور – عوراء: عور، أخرس – خرساء: خرس	comment: has irregular feminine faEolA'
pattern:faEolaY	singularPattern:>afoEal	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: أحمق – حمقاء: حمقى	comment:unspec
pattern:fiEol	singularPattern:>afoEal	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: أبيض – بيضاء: بيض	comment:unspec
pattern:faEiylap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fuEul	singularPattern:faEiylap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صحيفة: صحف، طريقة: طرق	comment:unspec
pattern:faEA}il	singularPattern:faEiylap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صحيفة: صحائف، طريقة: طرائق، وديعة: ودائع، شعيرة: شعائر، ربيبة: ربائب، خبيثة: خبائث، خليقة: خلائق، خليفة: خلائف، نفيسة: نفائس 	comment:unspec
pattern:fuEalA'	singularPattern:faEiylap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: خليفة: خلفاء	comment:unspec
pattern:fuEolap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fuEal	singularPattern:fuEolap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: غرفة: غرف، سنّة: سنن، حجرة: حجر، جُمُعة: جُمَع	comment:unspec
pattern:fuEolaY	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fuEal	singularPattern:fuEolaY	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: كبرى: كبر، صغرى: صغر	comment:unspec
pattern:fiEAl	singularPattern:fuEolaY	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: خنثى: خناث	comment:unspec
pattern:faEolap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fuEaY	singularPattern:faEolap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:fuEal	examples: قرية: قرى	comment:unspec
pattern:fiEAl	singularPattern:faEolap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: قصعة: قصاع، جنة: جنان، صحفة: صحاف	comment:unspec
pattern:fAlap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:faEolap	examples:unspec	comment:unspec
pattern:fawAEil	singularPattern:fAlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: حاجة: حوائج	comment:unspec
pattern:fiEolap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fiEal	singularPattern:fiEolap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عبرة: عبر، حجة: حجج، بدعة: بدع، كسرة: كسر، ذكرى: ذكر	comment:unspec
pattern:fiEolAn	singularPattern:fiEolap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: نسوة : نسوان	comment:unspec
pattern:fiEaY	singularPattern:fiEolap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: حِلية: حلى، لحية: لحى	comment:unspec
pattern:fAE	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:fAEiyap	subOf:fAEil	examples:unspec	comment:unspec
pattern:fuEAp	singularPattern:fAE	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:fuEalap	examples: هاد: هداة، قاض: قضاة، غاز: غزاة، داع: دعاة	comment:unspec
pattern:fAEil	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:fAEilap	subOf:unspec	examples:unspec	comment:unspec
pattern:faEalap	singularPattern:fAEil	type:brokenPlural	nType:participial	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: ساحر: سحرة، كاتب: كتبة، بار: بررة، فاجر: فجرة، كافر: كفرة	comment:unspec
pattern:fuE~al	singularPattern:fAEil	type:brokenPlural	nType:participial	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: راكع: ركّع، صائم: صوّم، ضارب: ضرّب، قائم: قوّم، نائم: نوّم	comment:unspec
pattern:faEolaY	singularPattern:fAEil	type:brokenPlural	nType:participial	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: هالك: هلكى	comment:unspec
pattern:fuE~Al	singularPattern:fAEil	type:brokenPlural	nType:participial	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صائم: صُوّام، نائم: نوام، قائم: قوام، كاتب: كتّاب، قارئ: قرّاء، كافر: كفّار، رائد: روّاد، حارس: حراس	comment:unspec
pattern:fawAEil	singularPattern:fAEil	type:brokenPlural	nType:participial	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: كاهِل: كواهل، حامل: حوامل، شاهق: شواهق، فارس: فوارس، سابق: سوابق	comment:unspec
pattern:fuEolAn	singularPattern:fAEil	type:brokenPlural	nType:participial	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: راهب: رهبان	comment:unspec
pattern:fuEalA'	singularPattern:fAEil	type:brokenPlural	nType:participial	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عالم: علماء، شاعر: شعراء، عاقل: عقلاء، جاهل: جهلاء	comment:unspec
pattern:fuE~	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:fuEol	examples:unspec	comment:unspec
pattern:fiEalap	singularPattern:fuE~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: دب: دببة	comment:unspec
pattern:faE~il	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:faE~ilap	subOf:unspec	examples:unspec	comment:unspec
pattern:faEolaY	singularPattern:faE~il	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: ميت: موتى	comment:unspec
pattern:faEalap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fiEAl	singularPattern:faEalap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: ثمرة: ثمار، رقبة: رقاب	comment:unspec
pattern:faEolAn	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:faEolAnap	subOf:unspec	examples:unspec	comment:unspec
pattern:fiEAl	singularPattern:faEolAn	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عطشان – عطشانة: عطاش، غضبان – غضبانة: غضاب	comment:unspec
pattern:faElaY	singularPattern:faEolAn	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: يقظان - يقظانة: يقظى	comment:unspec
pattern:fuEolAn	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:fuEolAnap	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAlA	singularPattern:fuEolAn	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عريان - عريانة: عرايا	comment:unspec
pattern:faE~	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:faEol	examples:unspec	comment:unspec
pattern:fuEuwl	singularPattern:faE~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: جد: جدود، حد: حدود، سد: سدود، قد: قدود	comment:unspec
pattern:>afoEaY	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:>afoEal	examples:unspec	comment:unspec
